Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Timur,4,8,6,8,14.9,13.78
Lampung Tengah,4,8,6,4,13.77,6.4
Lampung Utara,10,40,32,11,14.84,21.95
Way Kanan,4,32,3,15,15.07,12.45
Tulangbawang,5,8,21,7,17.59,18.64
Pesawaran,36,17,22,10,34.41,56.39
Pringsewu,23,16,26,27,22.54,31.44
Mesuji,36,8,9,26,25.23,29.81
Tulang Bawang Barat,16,4,16,7,16.79,36.74
Pesisir Barat,19,19,19,18,22.09,20.22
Kota Bandar Lampung,117,62,146,121,178.24,253.55
Kota Metro,69,28,28,54,13.22,27.13
Bangka,184,147,172,208,170.93,222.63
Belitung,100,112,148,128,169.42,67.95
Bangka Barat,16,77,70,113,47.73,56.1
Bangka Tengah,143,82,88,117,78.98,84.3
Bangka Selatan,44,132,66,24,17.48,55.88
Belitung Timur,81,100,121,80,148.12,63.1
Kota Pangkal Pinang,130,273,225,192,312.42,184.52
Karimun,114,174,94,126,202.03,88.37
Bintan,111,159,152,226,225.71,146.95
Natuna,257,194,243,421,284.62,250.29
Lingga,175,96,99,194,85.27,135
Kepulauan Anambas,338,280,419,284,394.39,368.57
Kota Batam,236,192,166,298,392.53,310.9
Kota Tanjung Pinang,165,168,196,410,209.98,393.84
Kep. Seribu,146,139,249,98,66.09,234.81
Kota Jakarta Selatan,312,238,311,411,448.49,265.42
Kota Jakarta Timur,193,160,223,283,276.66,241.27
Kota Jakarta Pusat,125,238,243,201,259.3,281.52
Kota Jakarta Barat,162,135,218,233,215.59,281.58
Kota Jakarta Utara,134,136,205,205,167.85,206.04
Bogor,85,94,62,128,145.4,118.23
Sukabumi,29,39,51,25,37.49,99.35
Cianjur,51,19,30,75,51.22,60.74
Bandung,107,97,88,110,121.84,78.99
Garut,32,22,54,62,31.35,36
Tasikmalaya,17,36,28,24,32.98,23.57
Ciamis,17,23,24,29,50.41,30.3
Kuningan,20,24,53,66,95.54,68.13
Cirebon,48,63,53,85,141.72,145.32
Majalengka,31,23,31,40,32.11,52.38
Sumedang,41,27,71,84,66.19,69.72
Indramayu,74,66,71,141,60.56,151.87
Subang,52,50,65,83,81.34,50.64
Purwakarta,43,80,102,93,84.76,133.11
Karawang,100,73,80,149,58.64,110.12
Bekasi,62,102,72,159,157.08,118.96
Bandung Barat,30,40,71,62,65.04,36.8
Pangandaran,28,33,26,39,67.08,40.88
Kota Bogor,120,127,105,268,189.26,295.86
Kota Sukabumi,118,103,97,98,97.58,179.25
Kota Bandung,219,196,164,196,211.65,241.68
Kota Cirebon,44,88,72,148,82.36,214.17
Kota Bekasi,135,202,314,373,319.1,222.45
Kota Depok,181,172,236,300,359.09,346.6
Kota Cimahi,152,219,150,286,258.67,229.51
Kota Tasikmalaya,29,50,82,51,66.82,105.8
Kota Banjar,19,30,41,32,21.05,35.87
Cilacap,29,5,7,45,19.84,31.62
Banyumas,29,18,28,38,28.9,24.46
Purbalingga,17,14,31,18,25.5,38.43
Banjarnegara,12,5,13,31,3.59,29.76
Kebumen,12,17,17,25,31.57,23.6
Purworejo,13,13,14,41,39.19,13.63
Wonosobo,14,15,13,29,21.01,17.42
Magelang,21,15,32,19,16.74,30.85
Boyolali,28,17,14,17,34.67,29.55
