Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Selatan,139,170,168,166,225.94,232.2
Lampung Timur,197,188,189,243,252.67,285.08
Lampung Tengah,184,194,213,255,300.04,336.77
Lampung Utara,86,111,75,105,121.09,113.07
Way Kanan,149,167,192,187,224.27,249.36
Tulangbawang,173,131,156,214,232.8,192.45
Pesawaran,129,166,177,217,171.39,247.17
Pringsewu,177,162,191,198,185.75,201.48
Mesuji,185,191,196,204,277.71,249.23
Tulang Bawang Barat,195,160,203,192,206.88,243.16
Pesisir Barat,46,97,103,86,74.73,138.81
Kota Bandar Lampung,77,73,90,146,159.67,110.47
Kota Metro,157,92,100,136,128.8,122.37
Bangka,339,368,329,364,422.42,509.45
Belitung,626,613,624,605,608.18,495.99
Bangka Barat,165,115,123,175,176.5,188.86
Bangka Tengah,193,286,135,243,332.84,302.3
Bangka Selatan,222,161,139,102,114.16,128.08
Belitung Timur,629,747,851,861,771.61,789.42
Kota Pangkal Pinang,191,165,154,148,225.42,196.07
Karimun,80,116,97,101,149.12,101.74
Bintan,149,139,146,205,182.62,189.99
Natuna,108,94,97,89,72.12,115.09
Lingga,20,34,28,56,133.71,58.12
Kepulauan Anambas,136,118,110,140,158.28,228.2
Kota Batam,118,156,162,232,196.92,169.72
Kota Tanjung Pinang,141,77,94,149,126.03,111.16
Kep. Seribu,500,404,462,481,530.07,509.27
Kota Jakarta Selatan,194,160,183,190,247.43,168.87
Kota Jakarta Timur,205,151,171,257,300.17,236.19
Kota Jakarta Pusat,96,109,126,120,124.38,104.52
Kota Jakarta Barat,152,157,159,165,184.85,177.88
Kota Jakarta Utara,188,164,221,224,205.67,340.27
Bogor,212,204,231,276,278.92,207.73
Sukabumi,125,172,153,145,179.21,162.35
Cianjur,129,136,141,197,164.15,187.91
Bandung,180,199,202,210,132.22,190.1
Garut,145,111,122,130,194.25,182.49
Tasikmalaya,151,160,151,172,246.25,223.67
Ciamis,240,235,242,267,292.06,342.92
Kuningan,196,155,228,250,216.01,170.59
Cirebon,157,187,242,237,217.69,297.37
Majalengka,199,203,274,278,251.3,216.03
Sumedang,99,118,142,183,177.07,199.13
Indramayu,228,183,246,317,344.27,282.26
Subang,163,174,178,192,157.44,220.59
Purwakarta,220,233,206,241,282.63,243.49
Karawang,224,275,252,301,278.52,332.68
Bekasi,269,318,302,374,315.85,367.41
Bandung Barat,109,103,129,107,203.34,143.82
Pangandaran,274,319,284,360,308.76,392.06
Kota Bogor,167,112,157,175,135.07,222.62
Kota Sukabumi,164,172,193,184,208.14,168.19
Kota Bandung,174,195,186,225,232.87,187.29
Kota Cirebon,86,128,119,165,140,128.54
Kota Bekasi,219,258,268,265,391.66,338.01
Kota Depok,175,158,236,248,283.57,259.63
Kota Cimahi,221,153,168,162,182.21,228.58
Kota Tasikmalaya,146,155,164,177,194.47,265.13
Kota Banjar,146,125,172,181,232.84,259.03
Cilacap,258,243,252,317,336.93,316.84
Banyumas,200,199,210,227,224.14,267.22
Purbalingga,154,184,186,195,221.54,216.83
Banjarnegara,317,267,292,375,365.05,453.84
Kebumen,179,240,221,327,235.59,266.59
Purworejo,225,185,228,218,219.43,219.38
Wonosobo,368,324,337,422,395.15,567.68
Magelang,127,156,188,203,235.83,264.11
Boyolali,199,155,224,291,238.49,286.84
Klaten,137,160,178,230,201.01,201.24
Sukoharjo,151,170,193,199,186.97,235.24
Wonogiri,243,206,195,277,385.06,266.99
Karanganyar,166,189,222,268,278.56,319.09
Sragen,188,189,199,351,322.64,352.51
Grobogan,193,237,263,312,308.44,395.97
Blora,152,158,202,239,203.81,181.47
Rembang,301,330,285,468,450.3,380.81
Pati,231,235,265,359,371.56,384.34
Kudus,236,175,194,290,392.31,321.06
Jepara,179,169,187,215,241.16,235.76
Demak,311,338,352,390,439.91,471.18
Semarang,279,281,288,355,405.09,437.59
Temanggung,166,122,158,240,206.87,268.15
Kendal,403,367,420,422,412.18,574.78
Batang,367,411,449,443,551.22,496.42
Pekalongan,375,415,472,495,495.1,597.28
Pemalang,385,335,368,437,466.37,484.55
Tegal,327,333,428,571,458.18,514.97
Brebes,371,427,383,450,473.86,526.55
Kota Magelang,102,68,93,139,120.31,111.41
Kota Surakarta,82,69,112,148,209.86,148.61
Kota Salatiga,169,171,168,236,251.3,214.12
Kota Semarang,172,157,160,233,335.28,166.41
Kota Pekalongan,181,209,189,277,301.85,220.24
Kota Tegal,319,315,316,334,280.68,356.66
Kulon Progo,152,159,138,194,175.02,208.16
Bantul,166,212,201,257,228.71,353.58
Gunung Kidul,178,122,134,158,147.81,156.33
Sleman,207,184,167,224,275.67,339.77
Kota Yogyakarta,89,77,93,121,134.45,109.66
Pacitan,199,259,169,204,221.89,240.05
Ponorogo,141,185,224,214,259.43,274.37
Trenggalek,91,79,69,88,85.41,107.1
Tulungagung,116,109,155,190,288.46,170.14
Blitar,93,81,97,120,129.61,99.08
Kediri,120,92,108,179,242.23,254.16
Malang,208,220,178,281,216.76,333.84
Lumajang,150,177,151,255,271.56,359.74
Jember,128,140,125,170,193.33,196.62
Banyuwangi,181,131,184,190,222.68,233.23
Bondowoso,75,63,76,83,50.71,97.59
Situbondo,95,121,85,116,147.01,146.23
Probolinggo,160,130,215,160,151.77,198.12
Pasuruan,243,242,278,296,300.52,297.13
Sidoarjo,205,235,214,286,257.9,277.79
Mojokerto,293,263,232,388,334.7,386.14
Jombang,271,272,264,355,289.13,305.45
Nganjuk,226,205,218,317,304.46,300.67
Madiun,222,176,200,274,279.86,327.58
Magetan,217,203,198,310,288.06,304.3
Ngawi,102,156,119,102,106.19,167.19
Bojonegoro,274,320,334,317,315.99,357.34
Tuban,346,311,394,452,410.19,550.88
Lamongan,458,465,499,458,479.32,550.95
Gresik,245,228,199,270,287.19,299.38
Bangkalan,156,161,135,137,195.67,223.4
Sampang,213,141,201,232,249.99,225.51
Pamekasan,158,141,269,194,182.62,242.96
Sumenep,234,162,160,278,302.62,414.5
Kota Kediri,110,86,137,178,204.08,173.04
Kota Blitar,112,84,125,168,142.25,164.7
Kota Malang,200,163,172,195,239.07,192.4
Kota Probolinggo,107,110,79,153,112.63,119.47
Kota Pasuruan,180,181,256,192,208.5,225.29
Kota Mojokerto,116,123,158,179,215.14,195.65
Kota Madiun,161,100,120,181,244.6,227.11
Kota Surabaya,187,128,148,207,220.87,250.94
Kota Batu,372,355,409,452,408.26,439.88
Pandeglang,243,218,254,346,216.18,259.64
Lebak,194,172,220,307,300.95,279.34
Tangerang,368,415,461,483,636.54,525.97
Serang,385,478,458,387,527.49,479.22
Kota Tangerang,270,234,274,249,364.14,340.3
Kota Cilegon,199,191,234,295,209.3,204
Kota Serang,282,222,274,354,391.06,274.68
Kota Tangerang Selatan,236,186,226,264,293.13,284.38
Jembrana,159,153,156,156,149,207.06
Tabanan,204,202,215,337,235.48,256.35
Badung,138,123,131,200,127.75,156.07
Gianyar,47,108,91,145,92.44,142.26
Klungkung,37,26,28,18,41.38,71.44
Bangli,38,54,52,36,79.83,63.56
Karangasem,25,27,16,11,17.41,11.4
Buleleng,174,159,190,211,186.46,194.65
Kota Denpasar,124,99,129,187,202.63,222.07
Lombok Barat,53,62,56,109,58.95,98.04
Lombok Tengah,53,38,72,63,56.58,56.22
Lombok Timur,48,70,86,117,111.62,176.1
Sumbawa,355,258,298,400,371.48,415.6
Dompu,49,80,80,75,80.03,80.68
Bima,55,49,59,127,90.88,96.76
Sumbawa Barat,498,448,456,599,476.37,405.3
Lombok Utara,119,159,149,158,238.07,201.59
Kota Mataram,84,60,113,130,95.45,85.33
Kota Bima,104,64,126,141,104.48,110.65
Sumba Barat,4,4,9,8,6.63,13.3
Sumba Timur,15,9,5,15,3.95,9.27
Kupang,2,4,8,11,10.49,6.25
Timor Tengah Selatan,6,14,13,6,8.95,3.15
Timor Tengah Utara,20,8,6,4,4.84,3.6
Belu,15,13,28,31,34.81,11.04
Alor,15,6,7,21,13.69,37.55
Lembata,10,10,6,29,14.96,10.86
Flores Timur,2,11,5,8,4.63,8.81
Sikka,12,8,6,6,14.17,1.26
Ende,28,22,55,61,94.04,120.32
Ngada,24,27,20,11,15.9,32.6
Manggarai,33,33,35,40,36.4,21.15
Rote Ndao,13,44,20,15,5.2,9.14
Manggarai Barat,24,45,55,51,53.8,20.71
Sumba Tengah,1,2,6,1,12.17,4.4
Sumba Barat Daya,6,3,5,14,5.99,18.25
Nagekeo,21,39,44,23,25.35,28.69
Manggarai Timur,27,19,30,43,33.76,17.81
Sabu Raijua,2,2,4,8,51.01,2.77
Malaka,2,31,15,12,0.25,9.49
Kota Kupang,34,26,40,43,61.42,50.65
Sambas,42,30,51,57,50.59,61.07
Bengkayang,66,36,46,61,59.44,55.51
Landak,24,27,45,86,138.13,59.2
Mempawah,95,51,79,51,71.16,82.38
Sanggau,112,64,83,87,89.53,81.01
Ketapang,131,64,128,161,130.75,150.86
Sintang,61,86,73,98,88.78,124.24
Kapuas Hulu,49,30,62,18,96.67,56.25
Sekadau,56,25,53,55,88.66,119.82
Melawi,127,74,97,126,162.01,160.66
Kayong Utara,117,110,106,107,129.03,186.41
Kubu Raya,77,67,66,91,116.02,93.62
Kota Pontianak,114,90,97,116,180.52,132.37
Kota Singkawang,88,53,97,105,71.74,80.29
Kotawaringin Barat,287,287,198,376,315.07,295.47
Kotawaringin Timur,175,154,183,275,279.38,333.03
Kapuas,344,269,395,428,305.88,261.86
Barito Selatan,593,473,600,581,526.67,354.37
Barito Utara,171,144,132,211,198.32,203.77
Sukamara,278,351,408,361,313.03,328.93
Lamandau,350,352,478,473,532.84,441.65
Seruyan,204,160,185,392,288.86,338.6
Katingan,211,278,303,350,296.52,229.6
Pulang Pisau,531,549,451,421,386.52,433.8
Gunung Mas,196,300,187,224,151.86,287.64
Barito Timur,257,237,253,312,217.18,360.61
Murung Raya,175,146,90,149,210.37,128.35
Kota Palangka Raya,218,202,239,292,369.71,225.11
Tanah Laut,184,150,160,229,187.43,170.14
Kota Baru,124,79,158,124,163.96,145.49
Banjar,92,98,106,127,183.99,142.25
Barito Kuala,238,225,222,246,296.41,214.6
Tapin,190,144,154,247,213.27,136.44
Hulu Sungai Selatan,69,85,70,97,108.33,103.65
Hulu Sungai Tengah,57,87,48,72,94.03,94.63
Hulu Sungai Utara,130,108,102,195,165.86,138.29
Tabalong,82,135,123,144,203.19,115.7
Tanah Bumbu,144,161,123,198,233.11,199.27
Balangan,55,55,61,59,69.94,51.08
Kota Banjarmasin,77,50,45,41,90.89,49.12
Kota Banjar Baru,202,187,194,208,252.98,213.75
Paser,168,141,202,245,179.99,203.91
Kutai Barat,105,83,89,109,113.99,112.58
Kutai Kartanegara,138,124,167,178,188.91,287.7
Kutai Timur,210,228,242,362,298.06,323.1
Berau,195,194,192,205,203.7,208.19
Penajam Paser Utara,151,166,223,223,211.46,178.96
Mahakam Ulu,98,107,115,60,97.94,88.25
Kota Balikpapan,170,78,120,101,176.39,150.32
Kota Samarinda,134,118,150,119,172.66,202.22
Kota Bontang,174,244,171,231,213.51,210.85
Malinau,106,100,138,85,184.05,141.65
Bulungan,133,123,160,123,144.28,168.68
Tana Tidung,103,179,165,180,179.7,247.29
Nunukan,159,165,136,87,201.68,131.03
Kota Tarakan,145,116,128,164,213.02,165.57
Bolaang Mongondow,288,351,389,397,380.73,362.57
Minahasa,132,81,96,208,180.91,247.38
Kepulauan Sangihe,142,135,188,180,182.62,144.22
Kepulauan Talaud,100,116,123,179,256.78,232.37
Minahasa Selatan,80,76,106,106,160.87,129.22
Minahasa Utara,173,167,216,184,341.79,193.5
Bolaang Mongondow Utara,358,326,308,395,353.74,234.1
Siau Tagulandang Biaro,54,63,30,34,45.03,57.24
Minahasa Tenggara,299,186,209,301,322.14,212.53
Bolaang Mongondow Selatan,370,433,413,474,315.94,440.44
Bolaang Mongondow Timur,314,291,344,355,456.51,379.09
Kota Manado,154,101,134,146,165.19,161.87
Kota Bitung,237,251,257,313,440.08,291.53
Kota Tomohon,222,158,141,193,252.72,306.15
Kota Kotamobagu,289,285,199,294,351.08,284.37
Banggai Kepulauan,17,30,29,61,47.4,41.29
Banggai,136,136,197,152,252.21,165.32
Morowali,204,273,261,203,165.91,237.84
Poso,169,243,220,241,277.35,246.67
Donggala,124,129,127,135,204.21,195.11
Toli-Toli,126,140,140,107,122.8,111.68
Buol,90,90,92,102,153.34,103.28
Parigi Moutong,173,219,181,188,215.77,186.82
Tojo Una-Una,88,140,83,167,126.76,94.44
Sigi,94,86,116,120,132.45,179.99
Banggai Laut,43,72,16,65,63.95,136.52
Morowali Utara,173,146,185,220,286.9,266.47
Kota Palu,151,165,175,113,177.82,237.95
Kepulauan Selayar,88,119,64,103,119.23,182.37
Bulukumba,260,163,188,173,237.76,199.13
Bantaeng,178,169,258,197,227.05,260.21
Jeneponto,38,41,38,62,22.48,49.67
Takalar,9,19,13,23,29.13,14.27
Gowa,67,53,83,74,68.91,128.55
Sinjai,340,296,294,350,286.46,263.04
Maros,195,158,156,140,280.4,239.61
Pangkajene dan Kepulauan,64,65,105,83,108.49,152.78
Barru,122,119,191,148,195.2,229.25
Bone,142,176,171,186,160.42,153.84
Soppeng,279,223,204,254,233.97,291.6
Wajo,339,281,311,346,409.83,405.78
Sidenreng Rappang,89,178,168,218,213.1,129.73
Pinrang,46,29,31,38,22.51,49.41
Enrekang,48,33,67,122,63.1,56.76
Luwu,99,67,90,74,77.61,110.7
Tana Toraja,19,19,17,41,14.73,21.4
Luwu Utara,177,120,179,121,196.14,201.1
Luwu Timur,131,183,165,212,224.26,201.35
Toraja Utara,44,26,16,36,21.81,40.72
Kota Makasar,161,158,180,162,246.91,187.62
Kota Parepare,90,81,98,119,88.91,137.27
Kota Palopo,126,81,119,96,145.55,94.7
Buton,31,45,28,24,40.79,54.41
Muna,13,40,16,44,29.74,33.27
Konawe,104,72,62,72,36.12,61.12
Kolaka,130,143,182,142,163.54,205.52
Konawe Selatan,98,131,105,122,98.62,105.9
Bombana,112,91,139,196,177.56,167.04
Wakatobi,59,19,42,40,36.59,60.19
Kolaka Utara,161,202,218,239,190.4,177.67
Buton Utara,37,27,46,76,34.66,60.03
Konawe Utara,62,80,45,97,72.69,70.19
