Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Timur,401,439,483,508,570.76,567.47
Lampung Tengah,405,406,443,568,506.25,684.56
Lampung Utara,379,398,368,505,546.41,547.96
Way Kanan,477,489,545,587,605.65,651.44
Tulangbawang,393,443,413,476,566.96,539.36
Pesawaran,302,335,350,405,445.77,542.87
Pringsewu,327,313,356,420,511.25,498.1
Mesuji,487,495,512,577,612.8,674.02
Tulang Bawang Barat,476,445,460,458,465.73,589.7
Pesisir Barat,379,427,520,603,494.44,614.58
Kota Bandar Lampung,251,374,305,406,455.05,566.97
Kota Metro,337,357,365,463,451.02,423.8
Bangka,364,419,396,399,514.76,405.33
Belitung,190,209,278,275,309.08,259.21
Bangka Barat,454,411,476,493,481.33,442.53
Bangka Tengah,460,584,513,601,657.7,780.03
Bangka Selatan,519,498,574,580,618.67,631.16
Belitung Timur,205,220,239,318,332.61,341.21
Kota Pangkal Pinang,337,271,322,564,438.93,444
Karimun,414,361,352,392,398.03,423.05
Bintan,480,467,501,495,481.94,699.08
Natuna,746,681,681,770,674.42,845.55
Lingga,454,548,510,609,527.44,582.49
Kepulauan Anambas,749,764,685,717,961.78,920.7
Kota Batam,352,363,366,403,528,466.16
Kota Tanjung Pinang,333,355,358,313,400.62,447.57
Kep. Seribu,570,358,295,477,348.34,475.1
Kota Jakarta Selatan,281,273,343,292,411.1,410.54
Kota Jakarta Timur,221,246,308,355,453.33,385.91
Kota Jakarta Pusat,213,250,239,262,239.63,257.82
Kota Jakarta Barat,181,258,215,293,315.41,433.94
Kota Jakarta Utara,259,283,321,340,383.63,423.48
Bogor,360,369,365,420,466.77,426.28
Sukabumi,381,494,447,399,396.42,466.46
Cianjur,351,372,411,493,440.77,468.78
Bandung,359,424,496,451,551.36,588.45
Garut,457,372,397,423,470.83,518.68
Tasikmalaya,268,375,402,358,374.58,404.73
Ciamis,296,370,376,470,471.68,522.32
Kuningan,443,375,375,525,386.79,424.31
Cirebon,419,456,489,480,526,546.15
Majalengka,414,485,602,447,454.42,497.86
Sumedang,285,383,519,519,473.04,581.78
Indramayu,401,438,519,577,648.84,605.43
Subang,445,336,408,519,433.02,492.62
Purwakarta,337,352,414,444,480.93,562.28
Karawang,337,284,252,335,368.63,386.36
Bekasi,263,328,300,451,505.29,431.07
Bandung Barat,361,462,408,390,417.2,479.83
Pangandaran,293,317,378,398,406.8,472.66
Kota Bogor,347,420,393,458,472.4,657.44
Kota Sukabumi,339,527,403,450,466.61,605.45
Kota Bandung,390,515,522,637,618.9,683.18
Kota Cirebon,327,420,401,511,376.87,505.3
Kota Bekasi,229,286,286,376,425.05,477.28
Kota Depok,216,293,351,434,516.34,485.14
Kota Cimahi,389,492,534,660,594.76,631.04
Kota Tasikmalaya,297,336,320,343,402.16,447.26
Kota Banjar,358,320,325,383,417.13,506.37
Cilacap,288,265,303,348,410.01,490.95
Banyumas,198,247,267,310,331.13,395.43
Purbalingga,203,308,265,323,356,361.53
Banjarnegara,285,253,288,427,423.04,439.49
Kebumen,201,282,269,339,354.9,387.24
Purworejo,286,289,269,342,355.21,363.76
Wonosobo,279,272,290,368,370.35,498.19
Magelang,224,237,255,380,436.63,406.2
Boyolali,339,346,454,462,395.61,521.83
Klaten,240,287,275,328,384.42,415.56
Sukoharjo,290,305,317,387,342.82,476.53
Wonogiri,339,384,301,427,489.16,531.22
Karanganyar,227,270,328,432,454.87,518.93
Sragen,414,414,418,522,500,610.58
Grobogan,384,445,404,462,468.15,576.52
Blora,312,342,326,371,495.77,486.07
Rembang,348,382,330,525,484.58,526.47
Pati,275,275,346,342,418.87,403.78
Kudus,248,252,270,356,371.55,454.57
Jepara,261,224,282,332,479.4,392.42
Demak,352,323,362,372,382.16,457.79
Semarang,368,379,388,517,466.63,571.12
Temanggung,223,192,252,267,313.39,388.71
Kendal,293,300,346,412,488.41,484.19
Batang,185,219,276,224,299.26,319.01
Pekalongan,186,195,220,264,205.13,340.14
Pemalang,316,292,375,471,441.51,465.71
Tegal,249,266,342,408,489.53,467.35
Brebes,263,321,295,413,379.89,416.17
Kota Magelang,119,76,146,248,308.84,298.53
Kota Surakarta,275,273,274,412,488.5,477.09
Kota Salatiga,246,306,314,470,526.98,520.42
Kota Semarang,318,279,382,424,570.11,437.61
Kota Pekalongan,88,87,157,174,183.79,209.49
Kota Tegal,252,289,365,427,305.72,393.57
Kulon Progo,170,147,183,230,325.12,330.09
Bantul,195,218,229,308,341.15,352.24
Gunung Kidul,228,238,219,274,310.94,394.06
Sleman,213,166,209,296,369.18,394.1
Kota Yogyakarta,123,180,167,214,276.34,234.57
Pacitan,239,334,296,311,344.44,454.83
Ponorogo,229,251,271,348,354.44,387.48
Trenggalek,274,286,281,368,388.85,387.07
Tulungagung,249,220,250,342,359.17,349.7
Blitar,244,295,258,323,334.44,335.96
Kediri,289,268,287,420,455.06,412.85
Malang,284,264,261,349,326.51,339.46
Lumajang,212,243,208,255,283.55,348.82
Jember,279,316,334,409,476.19,392.78
Banyuwangi,433,396,437,514,527.58,495.78
Bondowoso,288,268,290,385,338.15,369.1
Situbondo,293,298,289,340,338.12,388.75
Probolinggo,253,201,263,283,282.63,368.61
Pasuruan,273,256,279,268,358.58,338.45
Sidoarjo,268,250,178,282,378.48,443.52
Mojokerto,229,251,255,321,346.96,388.37
Jombang,260,236,234,330,351.17,329.78
Nganjuk,260,289,284,335,368.18,453.52
Madiun,311,266,293,339,379.8,394.43
Magetan,287,283,279,337,423.38,402.05
Ngawi,317,255,268,288,338.79,395.9
Bojonegoro,304,252,357,409,394.97,465.31
Tuban,286,298,316,330,448.65,438.44
Lamongan,263,287,277,344,369.47,471.63
Gresik,205,230,242,304,317.98,410.53
Bangkalan,135,183,213,250,278.3,288.06
Sampang,247,178,173,188,212.43,219.59
Pamekasan,241,235,264,259,270.74,337.79
Sumenep,397,302,326,492,520.59,715.05
Kota Kediri,273,289,231,308,402.24,383.31
Kota Blitar,252,219,221,317,298.82,319.95
Kota Malang,266,234,235,379,398.81,417.29
Kota Probolinggo,220,187,229,265,287.87,298.67
Kota Pasuruan,190,276,337,293,356.89,408.39
Kota Mojokerto,215,202,228,282,363.79,375.58
Kota Madiun,200,265,226,316,341.09,422.25
Kota Surabaya,215,178,204,329,311.27,459.38
Kota Batu,355,271,302,350,399.15,365.61
Pandeglang,282,285,354,372,385.47,383.96
Lebak,330,337,331,428,441.87,491.26
Tangerang,316,372,417,434,528.75,429.66
Serang,311,339,424,386,436.83,475.85
Kota Tangerang,342,400,382,442,505.47,590.72
Kota Cilegon,351,335,376,465,401.19,451.81
Kota Serang,346,371,462,508,466.86,442.1
Kota Tangerang Selatan,277,223,391,476,455.19,434.1
Jembrana,355,368,463,497,418.77,501.95
Tabanan,292,265,323,434,325.04,437.71
Badung,276,324,336,413,370.54,427.51
Gianyar,226,247,261,366,306.95,383.57
Klungkung,354,352,325,291,352.73,499.1
Bangli,413,418,458,511,553.83,624.43
Karangasem,264,259,337,331,263.04,309.22
Buleleng,236,280,293,277,302,409.93
Kota Denpasar,378,320,406,512,500.91,498.11
Lombok Barat,368,402,392,436,587.99,543.44
Lombok Tengah,548,528,488,571,632.11,656.77
Lombok Timur,434,435,486,668,664.91,743.35
Sumbawa,394,329,364,422,396.09,492.64
Dompu,325,409,356,398,445.76,391.87
Bima,488,466,394,478,476.61,467.72
Sumbawa Barat,320,297,257,338,331.77,260.04
Lombok Utara,565,443,493,515,562.96,701.92
Kota Mataram,368,314,346,528,533.52,605.21
Kota Bima,385,379,476,471,478.22,510.32
Sumba Barat,312,300,385,481,442.73,528.96
Sumba Timur,387,522,472,605,706.27,675.67
Kupang,471,462,446,527,616.63,627.2
Timor Tengah Selatan,339,312,275,296,435.93,518.15
Timor Tengah Utara,439,355,386,421,403.03,428.12
Belu,389,353,370,374,528.79,521.03
Alor,347,341,389,364,337.03,424.01
Lembata,232,333,353,376,445.2,461.6
Flores Timur,299,360,402,314,418.9,486.92
Sikka,324,326,281,257,284.71,304.69
Ende,327,330,367,360,423.28,432.02
Ngada,404,526,444,466,542.47,689.61
Manggarai,400,387,337,433,418.86,473.43
Rote Ndao,373,502,469,589,476.67,722.69
Manggarai Barat,396,354,368,402,470.04,522.86
Sumba Tengah,384,317,354,396,493.92,691.67
Sumba Barat Daya,211,230,290,327,324.64,377.95
Nagekeo,340,239,331,288,385.8,413.91
Manggarai Timur,411,322,324,334,408.73,528.2
Sabu Raijua,337,338,359,465,452.12,435.68
Malaka,368,430,448,507,448.59,584.04
Kota Kupang,530,510,560,587,626.35,699.64
Sambas,464,516,472,500,430.08,552.25
Bengkayang,481,537,455,445,563.57,543.38
Landak,532,574,556,599,691.29,710.61
Mempawah,349,365,365,337,406.52,458
Sanggau,531,451,573,547,601.67,518.77
Ketapang,521,421,446,493,626.58,601.79
Sintang,496,449,576,610,645.43,737.58
Kapuas Hulu,399,417,473,558,810.3,688.45
Sekadau,473,560,598,556,581.2,537.91
Melawi,530,631,587,696,619.7,692.16
Kayong Utara,430,435,568,554,381.79,570.07
Kubu Raya,374,422,402,466,410.41,456.41
Kota Pontianak,359,348,381,412,469.06,472.4
Kota Singkawang,452,449,522,604,501.87,532.55
Kotawaringin Barat,564,546,540,779,698.9,690.46
Kotawaringin Timur,483,456,505,726,702.57,646.66
Kapuas,355,439,411,438,513.95,523.52
Barito Selatan,532,380,456,431,598.78,454.07
Barito Utara,493,363,518,597,616.28,598.19
Sukamara,626,634,602,611,822.66,746.05
Lamandau,583,607,947,965,989.51,1183.2
Seruyan,487,311,414,586,842.2,772.1
Katingan,573,579,611,751,670.32,851.17
Pulang Pisau,458,659,558,580,674.08,724.55
Gunung Mas,358,441,499,469,492.81,577.56
Barito Timur,466,573,472,487,552.82,489.35
Murung Raya,626,746,571,689,920.43,765.21
Kota Palangka Raya,288,361,432,642,543.94,507.65
Tanah Laut,286,286,321,489,503.72,479.1
Kota Baru,472,467,472,586,562.19,570.33
Banjar,344,304,347,430,481.39,405.98
Barito Kuala,376,412,440,449,482.93,455.32
Tapin,334,313,318,332,396.07,308.99
Hulu Sungai Selatan,223,313,320,336,336.52,382.02
Hulu Sungai Tengah,305,297,334,399,272.41,332.18
Hulu Sungai Utara,193,292,261,390,382.24,378.84
Tabalong,320,425,338,360,472.03,435.86
Tanah Bumbu,402,411,375,492,515.14,483.95
Balangan,458,350,459,515,575.48,445.16
Kota Banjarmasin,299,222,296,319,338.61,324.63
Kota Banjar Baru,346,294,334,405,451.28,409.22
Paser,379,422,448,577,525.97,639.71
Kutai Barat,399,496,499,537,488.63,604.08
Kutai Kartanegara,346,333,393,375,448.69,473.68
Kutai Timur,498,530,516,682,633.47,859.71
Berau,416,544,685,595,644.76,741.04
Penajam Paser Utara,323,330,390,470,477.56,596.98
Mahakam Ulu,390,596,881,822,905.36,1279.38
Kota Balikpapan,275,283,314,368,488.95,498.12
Kota Samarinda,267,285,431,307,389.87,459.45
Kota Bontang,320,285,318,380,326.03,390.24
Malinau,597,546,659,753,841.94,956.15
Bulungan,560,619,630,662,642.74,690.32
Tana Tidung,499,573,602,642,821.09,738.48
Nunukan,425,635,442,519,622.33,537.62
Kota Tarakan,245,311,313,463,504.27,444.68
Bolaang Mongondow,319,388,381,491,563.88,398.93
Minahasa,310,245,269,449,493.88,496.36
Kepulauan Sangihe,292,224,225,327,500.74,305.59
Kepulauan Talaud,568,478,585,757,777.53,837.25
Minahasa Selatan,260,321,359,404,360.64,452.53
Minahasa Utara,306,363,382,433,569.78,469.04
Bolaang Mongondow Utara,321,409,371,508,440.07,466.73
Siau Tagulandang Biaro,372,312,264,384,357.65,581.31
Minahasa Tenggara,358,294,334,387,403.12,448.46
Bolaang Mongondow Selatan,322,350,383,490,453.49,335.22
Bolaang Mongondow Timur,448,351,371,443,593.64,544.75
Kota Manado,299,315,268,332,606.45,559.1
Kota Bitung,295,275,278,379,449.6,515.74
Kota Tomohon,285,287,292,342,485.59,362.27
Kota Kotamobagu,227,259,212,323,359.91,327.56
Banggai Kepulauan,267,245,306,335,364.94,397.2
Banggai,342,375,350,379,470.2,483.77
Morowali,292,328,266,312,379.86,645.51
Poso,433,448,420,370,477.74,466.95
Donggala,249,271,289,308,385.31,301.54
Toli-Toli,267,269,245,238,299.66,287.23
Buol,323,437,450,413,477.11,430.02
Parigi Moutong,232,214,241,317,317.62,327.11
Tojo Una-Una,278,398,388,375,391.97,369.58
Sigi,327,315,305,313,273.24,354.24
Banggai Laut,287,310,275,343,435.22,439.04
Morowali Utara,544,490,495,599,555.67,617.48
Kota Palu,245,334,321,365,496.66,389.87
Kepulauan Selayar,297,218,212,278,268.25,456.23
Bulukumba,173,159,175,225,287.63,307.03
Bantaeng,281,245,292,309,249.43,278.04
Jeneponto,185,142,229,241,206.3,272
Takalar,316,318,426,457,441,483.19
Gowa,282,233,326,325,336.64,397.19
Sinjai,209,179,198,286,169.22,220.4
Maros,375,322,376,357,456.02,484.94
Pangkajene dan Kepulauan,356,294,359,401,451.55,414.13
Barru,331,265,351,329,442.24,449.03
Bone,234,263,223,237,269.39,261.83
Soppeng,226,244,258,337,331.36,340.11
Wajo,302,332,286,297,310.87,326.65
Sidenreng Rappang,150,141,173,224,193.32,238.7
Pinrang,182,205,198,190,211.66,255.71
Enrekang,180,128,142,182,207.1,253.53
Luwu,294,214,292,334,319.53,261.64
Tana Toraja,180,157,240,262,245.51,308.78
Luwu Utara,399,349,358,330,293.96,402.96
Luwu Timur,357,302,395,419,372.43,444.11
Toraja Utara,250,234,258,294,237.9,354
Kota Makasar,352,283,338,326,434.46,379.24
Kota Parepare,312,299,380,413,428.33,461.62
Kota Palopo,323,290,332,362,391.53,450.92
Buton,228,179,277,329,286.94,452.21
Muna,206,205,182,270,263.51,245.61
Konawe,412,351,377,386,459.17,446.67
Kolaka,303,282,381,353,339.22,446.22
Konawe Selatan,266,238,315,344,406.28,388.2
Bombana,245,312,411,467,506.34,529.39
Wakatobi,358,233,395,376,394.59,494.15
Kolaka Utara,313,354,373,443,463.87,400.79
Buton Utara,276,261,334,325,297.85,310.76
Konawe Utara,306,355,334,415,358.24,533.62
Kolaka Timur,377,280,405,525,502.09,451.22
Konawe Kepulauan,272,326,295,353,282.3,318.63
Muna Barat,190,152,296,282,267.06,334.74
Buton Tengah,115,109,224,345,280.32,287.84
Buton Selatan,72,156,251,272,245.53,293.54
Kota Kendari,419,424,380,402,394.1,535.25
Kota Baubau,313,327,263,382,352.21,286.2
Boalemo,363,326,451,444,483.49,574.14
Gorontalo,234,251,261,346,328.5,248.16
Pohuwato,334,400,422,549,507.2,392.56
Bone Bolango,273,316,315,462,310.76,300.36
Gorontalo Utara,317,322,482,591,505.14,592.62
Kota Gorontalo,270,247,254,335,311.8,365.97
Majene,194,201,212,171,154.31,196.88
Polewali Mandar,221,204,158,186,225.85,267.3
Mamasa,239,223,291,264,312.33,336.2
Mamuju,300,281,339,338,380.58,395.54
Mamuju Utara,502,465,416,476,451.29,455.77
Mamuju Tengah,326,273,332,391,388.52,481.14
Maluku Tenggara Barat,661,671,794,719,761.12,856.37
Maluku Tenggara,643,573,530,444,581.95,632.53
Maluku Tengah,670,555,637,654,807.18,858.59
Buru,534,627,708,830,707.29,658.48
Kepulauan Aru,634,676,572,567,765.72,750.83
Seram Bagian Barat,389,484,537,550,636.33,748.47
Seram Bagian Timur,440,569,614,535,698.6,791.39
Maluku Barat Daya,627,686,791,850,1115.57,1243.86
Buru Selatan,418,469,629,614,625.02,713.67
Kota Ambon,635,525,564,617,876.98,787.59
Kota Tual,767,393,497,444,503.91,624.17
Halmahera Barat,739,576,793,917,807.97,1256.01
Halmahera Tengah,718,453,685,611,523.48,750.39
Kepulauan Sula,272,278,222,288,256.53,471.96
Halmahera Selatan,431,436,419,701,680.46,702.48
Halmahera Utara,510,363,438,351,601.91,645.12
Halmahera Timur,393,465,500,576,515.11,676.71
Pulau Morotai,359,468,475,514,738.09,638.78
Pulau Taliabu,324,339,383,424,410.41,374.01
Kota Ternate,273,289,313,279,358.69,478.14
Kota Tidore Kepulauan,321,325,361,431,487.13,564.96
Fakfak,547,525,624,630,727.28,609.2
Kaimana,401,491,682,495,659.87,613.22
Teluk Wondama,413,570,707,622,687.55,732.6
Teluk Bintuni,770,739,605,830,827.73,836.62
Manokwari,472,594,606,594,937.35,966.76
Sorong Selatan,634,525,538,585,369.37,556.21
Sorong,429,500,588,672,869.42,815.67
Raja Ampat,365,459,529,618,848.13,877.48
Tambrauw,362,399,387,609,852.63,827.95
Maybrat,544,543,654,718,804.55,597.81
Manokwari Selatan,577,472,642,680,676.43,840.53
Pegunungan Arfak,663,512,426,611,878.94,926.33
Kota Sorong,608,685,749,802,832.67,915.26
Merauke,564,515,529,510,694.56,539.71
Jayawijaya,878,2884,899,1960,2207.5,2449.76
Jayapura,589,576,320,605,787.39,967.69
Nabire,662,845,1077,1320,1068.03,898.75
Kepulauan Yapen,436,515,641,935,802.8,814.47
Biak Numfor,444,547,683,799,687.42,466.78
Paniai,898,832,531,1097,1225.55,1427.23
Puncak Jaya,1370,521,2437,2551,1394.55,2109.45
Mimika,608,541,606,699,776.38,716
Boven Digoel,530,683,575,878,901.8,745.93
Mappi,521,348,390,470,509.66,765.37
Asmat,698,609,700,852,837.53,876.98
Yahukimo,464,1067,1046,844,1005.98,1224.74
Pegunungan Bintang,1231,1709,1401,1173,1242.38,1159.2
Tolikara,499,401,464,248,755,779.76
Sarmi,535,568,329,802,567.32,475.78
Keerom,449,366,494,874,838.58,810.84
Waropen,676,511,571,609,362.91,553.52
Supiori,638,507,717,775,647.54,806.17
Mamberamo Raya,262,117,160,616,302.63,358.07
Nduga,1478,2508,1967,3957,2556.37,2496.06
Lanny Jaya,1986,2727,2554,2793,3494.18,3003.64
Mamberamo Tengah,949,1016,885,843,1584.04,1335.75
Yalimo,573,1011,1081,1555,1500.09,1480.9
Puncak,3774,3806,3719,4236,4379.12,4286.05
Dogiyai,600,596,336,490,430.7,525.64
Intan Jaya,1045,665,1230,1286,1255.56,2413.18
Deiyai,470,486,1170,1021,1256.05,1368.26
Kota Jayapura,763,857,633,772,805.22,1011.82
