Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Timur,54,62,61,72,61.09,57.73
Lampung Tengah,40,42,56,40,67.74,60.7
Lampung Utara,41,52,33,64,41.07,40.93
Way Kanan,56,89,83,59,60.64,58.98
Tulangbawang,70,61,101,69,60.5,98.8
Pesawaran,58,74,89,88,70.42,60.37
Pringsewu,47,62,46,44,57.73,57.53
Mesuji,245,81,122,51,93.25,104.26
Tulang Bawang Barat,31,39,43,53,39.02,27.91
Pesisir Barat,55,69,72,34,66.06,94.14
Kota Bandar Lampung,81,69,79,97,117,90.68
Kota Metro,75,33,60,36,35.23,38.32
Bangka,710,671,658,773,716,705.56
Belitung,579,507,630,674,543.47,455.79
Bangka Barat,651,575,695,727,691.07,582.56
Bangka Tengah,900,919,898,972,874.66,969.24
Bangka Selatan,874,1014,1104,1060,1113.12,1268.9
Belitung Timur,576,527,524,505,440.47,502.86
Kota Pangkal Pinang,512,554,487,616,735.48,613.68
Karimun,458,429,437,392,333.95,469.56
Bintan,365,266,273,306,242.7,350.43
Natuna,211,180,188,216,137.38,165.15
Lingga,1023,1035,1086,980,1040.41,975.83
Kepulauan Anambas,220,102,135,147,179.25,244.56
Kota Batam,207,205,225,215,189.89,150.54
Kota Tanjung Pinang,181,178,216,233,98.91,161.72
Kep. Seribu,820,708,563,629,524.93,536.87
Kota Jakarta Selatan,34,56,55,55,83.78,48.76
Kota Jakarta Timur,67,46,60,70,100.28,71.79
Kota Jakarta Pusat,30,36,64,28,34,20.3
Kota Jakarta Barat,62,68,57,52,69.04,63.13
Kota Jakarta Utara,91,67,106,93,81.25,129.17
Bogor,102,125,114,145,121.74,97.17
Sukabumi,55,85,68,76,100.2,59.14
Cianjur,58,58,58,61,38.07,51.23
Bandung,48,60,47,50,42.66,43.23
Garut,33,32,36,27,32.88,33.22
Tasikmalaya,18,22,33,33,31.14,10.09
Ciamis,30,32,35,31,46.47,40.24
Kuningan,101,101,102,114,91.24,92.8
Cirebon,123,149,191,192,172.41,146.8
Majalengka,42,52,67,56,60.65,56.47
Sumedang,38,56,70,51,40.8,50.98
Indramayu,149,186,221,208,232.09,271.23
Subang,79,56,70,96,47.64,61.87
Purwakarta,65,67,81,100,95.14,76.95
Karawang,139,130,126,165,130.26,146.65
Bekasi,122,124,143,149,130.59,110.23
Bandung Barat,42,42,52,36,56.97,44.22
Pangandaran,39,31,40,47,38.46,51.16
Kota Bogor,71,59,60,85,56.59,85.33
Kota Sukabumi,58,54,67,69,50.43,56.32
Kota Bandung,59,54,59,70,70.42,71.64
Kota Cirebon,72,98,99,103,97.96,73.35
Kota Bekasi,40,62,68,64,124.81,66.83
Kota Depok,45,36,59,73,88.42,87.79
Kota Cimahi,63,46,59,71,93.19,68.29
Kota Tasikmalaya,14,21,34,37,23.6,32.05
Kota Banjar,25,15,18,29,22.49,26.78
Cilacap,23,27,15,35,32.16,44.82
Banyumas,18,26,19,30,28.5,22.56
Purbalingga,16,19,11,21,14.19,20.82
Banjarnegara,14,19,23,13,10,14.95
Kebumen,19,28,22,36,10.78,22.27
Purworejo,18,18,14,14,13.69,11.07
Wonosobo,13,9,8,17,8.31,5.88
Magelang,7,8,7,11,12.04,12.44
Boyolali,12,15,9,9,10.35,12.45
Klaten,13,19,18,20,28,29.83
Sukoharjo,29,26,21,23,21.83,31.04
Wonogiri,27,8,10,13,18,10.27
Karanganyar,20,31,30,42,26.77,15.62
Sragen,46,44,46,55,61.31,57.02
Grobogan,18,18,26,32,42.03,40.23
Blora,79,93,88,66,104.36,63.5
Rembang,227,210,243,333,257.13,281.02
Pati,34,38,45,25,56.19,53.27
Kudus,33,17,40,36,44.03,40.35
Jepara,24,32,33,40,47.95,31.2
Demak,47,45,57,86,81.48,100.89
Semarang,22,22,11,17,30.45,29.6
Temanggung,5,8,4,8,3.15,7.91
Kendal,31,37,46,52,52.6,33.92
Batang,21,21,31,21,16.93,22.93
Pekalongan,26,22,48,16,20.43,12.69
Pemalang,64,95,91,80,58.07,71.4
Tegal,80,100,117,133,110.83,59.79
Brebes,117,140,111,109,92.21,104.01
Kota Magelang,27,10,19,22,18.28,36.2
Kota Surakarta,18,12,31,39,46.54,23.92
Kota Salatiga,15,26,17,25,18.39,23.26
Kota Semarang,38,23,35,78,81.87,64.29
Kota Pekalongan,48,49,23,40,66.82,23.74
Kota Tegal,94,71,78,54,68.77,42.45
Kulon Progo,5,11,4,3,5.72,5.42
Bantul,11,8,11,22,7.97,20.61
Gunung Kidul,10,14,7,13,8.13,17.83
Sleman,15,14,14,26,34.65,38.26
Kota Yogyakarta,19,22,38,32,28.85,17.61
Pacitan,7,2,16,3,3.34,6.61
Ponorogo,13,19,31,20,18.58,12.42
Trenggalek,4,6,3,4,8.71,9.96
Tulungagung,18,10,15,25,37.74,17.97
Blitar,16,6,5,10,11.59,7.96
Kediri,43,29,35,49,51.54,51.59
Malang,36,24,30,44,32.79,45.69
Lumajang,81,72,74,129,87.47,127.31
Jember,53,61,55,60,70.2,69.6
Banyuwangi,51,39,56,57,41.45,44.22
Bondowoso,49,36,48,41,42.9,22.9
Situbondo,77,64,57,56,71.94,51.19
Probolinggo,52,55,77,62,58.94,66.1
Pasuruan,78,85,85,62,86.82,77.67
Sidoarjo,97,100,93,115,130.93,88.09
Mojokerto,96,112,116,115,150.87,135.53
Jombang,86,88,82,113,99.13,103.13
Nganjuk,110,131,109,180,151.47,158.94
Madiun,109,95,107,98,103.91,119.59
Magetan,71,68,51,62,68.5,55.12
Ngawi,80,99,72,89,60.85,86.96
Bojonegoro,150,201,209,201,184.1,195.71
Tuban,202,235,248,286,315.36,377.78
Lamongan,268,266,312,343,267.21,337.31
Gresik,215,172,164,246,244.48,213.78
Bangkalan,65,80,80,59,61.51,90.95
Sampang,87,50,55,44,55.06,55.6
Pamekasan,54,81,89,59,78.13,79.47
Sumenep,63,69,87,125,162.54,185.24
Kota Kediri,34,40,30,52,63.17,51.74
Kota Blitar,23,19,18,18,23.97,21.49
Kota Malang,41,47,50,39,60.43,36.43
Kota Probolinggo,55,54,60,97,96.13,59.91
Kota Pasuruan,84,94,82,91,148.12,89.73
Kota Mojokerto,86,116,138,173,160.35,101.78
Kota Madiun,113,94,89,103,118.56,106.67
Kota Surabaya,54,50,55,82,75.45,85.33
Kota Batu,26,23,25,31,29.61,23.07
Pandeglang,246,224,250,308,290.5,237.5
Lebak,121,151,131,184,146.47,157.12
Tangerang,177,205,216,242,253.12,201.16
Serang,200,231,219,211,210.38,206.13
Kota Tangerang,85,52,80,80,111.58,118.83
Kota Cilegon,120,144,123,239,101.37,131.06
Kota Serang,111,119,115,150,125.31,116.43
Kota Tangerang Selatan,67,53,48,65,44.06,67.38
Jembrana,67,67,73,54,39.37,55.67
Tabanan,14,8,8,20,6.95,4.36
Badung,16,23,18,32,21.34,16.11
Gianyar,5,5,12,3,9.11,5.05
Klungkung,18,6,9,6,9.11,19.17
Bangli,1,-,1,4,1.6,3.03
Karangasem,9,7,9,2,3.93,8.25
Buleleng,16,25,21,9,24.61,18.7
Kota Denpasar,16,18,18,23,35.79,23.16
Lombok Barat,162,156,97,148,184.69,212.04
Lombok Tengah,549,492,424,585,523.81,578.1
Lombok Timur,303,315,372,496,429.62,490.07
Sumbawa,610,568,536,615,637.95,706.36
Dompu,458,365,427,472,579.97,547.63
Bima,411,527,504,570,512.16,566.05
Sumbawa Barat,715,711,588,682,626.59,562.72
Lombok Utara,159,164,139,138,215.69,204.65
Kota Mataram,146,172,170,208,143.53,237.38
Kota Bima,430,380,387,411,301.25,357.86
Sumba Barat,8,7,9,9,21.59,31.14
Sumba Timur,39,37,64,85,48.88,124.26
Kupang,64,92,101,68,105.35,81.22
Timor Tengah Selatan,19,33,31,26,36.97,22.31
Timor Tengah Utara,51,44,46,44,27.28,39.53
Belu,47,24,44,63,103.4,65.3
Alor,111,131,163,163,103.07,190.9
Lembata,84,195,208,245,232.37,347.68
Flores Timur,120,170,182,150,283.09,249.22
Sikka,130,161,123,151,157.57,84.71
Ende,112,104,140,123,186.4,139.5
Ngada,80,78,32,71,35.89,111.53
Manggarai,40,30,18,13,34.48,20.06
Rote Ndao,75,81,86,111,100.64,109.32
Manggarai Barat,214,229,142,121,122.36,81.74
Sumba Tengah,12,17,12,30,55.01,79
Sumba Barat Daya,28,16,4,30,38.48,20.65
Nagekeo,162,203,136,94,117.66,82.62
Manggarai Timur,9,28,8,18,24.24,3.88
Sabu Raijua,83,77,42,37,125.56,51.84
Malaka,30,42,15,31,56.48,53.86
Kota Kupang,120,89,92,72,77.95,131.67
Sambas,352,369,404,422,299.23,390.54
Bengkayang,119,131,181,157,145.86,168.73
Landak,104,65,94,123,200.73,157.88
Mempawah,428,340,323,315,299.95,285.11
Sanggau,59,57,39,86,106.14,115.33
Ketapang,514,363,408,492,484.2,510.21
Sintang,48,43,69,124,128.91,181.87
Kapuas Hulu,60,71,121,69,282.54,231.43
Sekadau,96,73,95,117,108.7,158
Melawi,229,162,208,244,268.73,208.24
Kayong Utara,792,613,600,592,678.26,558.25
Kubu Raya,346,370,243,337,315.07,302.7
Kota Pontianak,319,264,310,281,334.11,229.97
Kota Singkawang,227,168,225,279,210.69,196.63
Kotawaringin Barat,164,191,177,172,172.45,268.43
Kotawaringin Timur,230,169,197,216,273.97,257.02
Kapuas,362,377,381,403,416.3,339.02
Barito Selatan,588,531,528,520,463.98,508.33
Barito Utara,225,243,192,227,237.35,276.85
Sukamara,167,244,200,215,293.68,194.04
Lamandau,183,104,196,218,251.72,156.1
Seruyan,298,185,197,326,413.8,286.58
Katingan,302,328,341,229,218.34,242.01
Pulang Pisau,288,274,367,408,365.37,377.01
Gunung Mas,83,64,47,49,86.3,54.72
Barito Timur,270,287,332,320,274.55,320.65
Murung Raya,330,189,148,294,277.08,268.46
Kota Palangka Raya,146,180,100,128,254.07,115.18
Tanah Laut,335,325,316,433,488.92,364.31
Kota Baru,583,539,542,557,581.69,484.78
Banjar,347,308,322,410,436.5,381.43
Barito Kuala,399,401,440,405,503.82,380.13
Tapin,429,413,327,436,475.45,481.51
Hulu Sungai Selatan,402,510,484,505,533.82,556.51
Hulu Sungai Tengah,409,383,307,417,368.13,319.51
Hulu Sungai Utara,391,403,358,393,431.81,433.47
Tabalong,328,274,313,436,539.13,361.19
Tanah Bumbu,334,369,328,372,398.41,351.04
Balangan,377,275,355,355,372.34,365.2
Kota Banjarmasin,222,133,149,184,216.1,145.87
Kota Banjar Baru,237,232,247,227,274.22,230.68
Paser,330,378,422,378,402.44,342.78
Kutai Barat,157,122,115,85,155.43,184.7
Kutai Kartanegara,275,228,296,344,285.77,315.28
Kutai Timur,390,352,448,428,380.49,518.99
Berau,515,386,565,418,361.64,295.85
Penajam Paser Utara,309,296,377,384,426.45,353.33
Mahakam Ulu,74,115,22,98,126.39,48.87
Kota Balikpapan,200,194,202,196,210.88,254.38
Kota Samarinda,198,209,266,179,242.66,210.21
Kota Bontang,255,351,340,297,286.6,320.6
Malinau,208,199,218,207,260.45,198.97
Bulungan,361,393,398,346,386.13,390.91
Tana Tidung,215,522,682,636,702.85,555.87
Nunukan,609,421,450,480,627.21,638.07
Kota Tarakan,333,361,396,500,284.68,477.89
Bolaang Mongondow,12,10,5,8,6.26,8.74
Minahasa,1,4,4,10,16.88,2.81
Kepulauan Sangihe,3,-,4,-,3.57,-
Kepulauan Talaud,-,2,-,1,1.86,0.71
Minahasa Selatan,4,-,7,-,15.32,2.72
Minahasa Utara,15,4,4,21,57.74,5.45
Bolaang Mongondow Utara,74,165,135,19,94.81,80.5
Siau Tagulandang Biaro,2,7,-,-,0.64,1.61
Minahasa Tenggara,-,2,-,-,2.87,7.98
Bolaang Mongondow Selatan,3,-,3,1,16.28,24.44
Bolaang Mongondow Timur,1,1,4,1,11.75,11.76
Kota Manado,4,29,6,28,7.48,3.21
Kota Bitung,15,8,11,5,19.11,24.88
Kota Tomohon,8,5,11,30,46.94,7.94
Kota Kotamobagu,2,5,5,1,4.77,8.29
Banggai Kepulauan,53,31,81,204,64.7,200.61
Banggai,98,104,89,124,147.9,169.96
Morowali,587,550,449,540,632.76,806.99
Poso,104,177,144,130,164.21,166.47
Donggala,358,330,313,377,477.4,509.23
Toli-Toli,321,288,330,249,299.67,372.97
Buol,181,134,80,77,106.69,91.54
Parigi Moutong,158,185,156,140,215.94,152.8
Tojo Una-Una,134,129,108,120,120.05,133.26
Sigi,195,197,184,171,211.41,299.04
Banggai Laut,392,227,309,362,334.28,253.17
Morowali Utara,358,407,402,371,243.73,510.65
Kota Palu,333,288,241,192,262.2,310.31
Kepulauan Selayar,661,577,635,778,877.54,924
Bulukumba,603,367,388,385,430.39,525.79
Bantaeng,796,764,928,855,760.52,823.33
Jeneponto,483,425,628,599,696.64,631.12
Takalar,576,514,557,586,660.22,611.84
Gowa,558,493,613,610,581.15,620.5
Sinjai,467,392,375,490,411.25,404.89
Maros,758,714,849,783,1021.19,979.8
Pangkajene dan Kepulauan,835,567,724,900,944.89,1122.52
Barru,591,460,891,578,804.29,954.82
Bone,481,472,545,535,538.79,509.2
Soppeng,509,406,503,470,530.03,604.04
Wajo,491,484,462,515,590.23,567.11
Sidenreng Rappang,238,289,297,461,452.59,375.39
Pinrang,221,80,97,132,232.83,157.11
Enrekang,170,168,194,263,256.13,331.37
Luwu,475,317,319,397,421.86,419.92
Tana Toraja,40,34,49,17,42.3,36.24
Luwu Utara,235,236,275,256,317.08,321.96
Luwu Timur,454,461,410,539,572.61,555.51
Toraja Utara,72,53,42,24,35.19,42.13
Kota Makasar,579,632,640,641,801.7,820.34
Kota Parepare,343,470,383,452,514.47,471.73
Kota Palopo,585,438,446,496,596.77,590.23
Buton,438,306,366,422,344.35,422.07
Muna,427,436,469,486,560.51,496.86
Konawe,384,362,339,326,352.03,457.16
Kolaka,668,657,692,541,756.48,846.75
Konawe Selatan,403,423,531,537,485.55,542.27
Bombana,616,555,783,802,935.88,857.63
Wakatobi,698,574,619,605,679.83,1152.26
Kolaka Utara,503,645,588,851,734.9,627.02
Buton Utara,178,241,269,303,322.82,286.09
Konawe Utara,490,491,549,518,620.29,691.47
Kolaka Timur,437,383,453,502,422.37,432.31
Konawe Kepulauan,440,400,424,486,417.51,545.53
Muna Barat,293,297,358,405,394.64,384.92
Buton Tengah,944,486,618,902,795.09,739.4
Buton Selatan,303,512,529,471,486.2,594.89
Kota Kendari,620,628,645,617,629.67,656.17
Kota Baubau,613,688,775,827,1030.04,850.99
Boalemo,4,2,11,5,10.46,29.52
Gorontalo,3,3,8,16,15.28,9.64
Pohuwato,21,36,32,39,47.01,29.03
Bone Bolango,1,1,2,6,5.3,1.08
Gorontalo Utara,12,43,39,11,16.67,46
Kota Gorontalo,10,9,24,17,17.49,7.67
Majene,307,368,430,417,137.09,227.32
Polewali Mandar,404,405,404,398,523.22,506.18
Mamasa,75,86,43,73,38.67,46.29
Mamuju,311,324,379,357,446.58,469.58
Mamuju Utara,606,536,490,575,820.39,543.61
Mamuju Tengah,299,369,395,467,492.52,490.55
Maluku Tenggara Barat,74,92,97,116,180.06,94.26
Maluku Tenggara,145,173,128,192,281.35,159.9
Maluku Tengah,321,310,261,323,441.04,369.69
Buru,473,347,261,449,411.18,330.43
Kepulauan Aru,323,278,253,415,466.53,500.94
Seram Bagian Barat,289,308,217,376,596.16,455.95
Seram Bagian Timur,510,500,475,440,609.09,591.16
Maluku Barat Daya,211,212,211,266,106.74,225.97
Buru Selatan,129,130,171,141,201.58,188.16
Kota Ambon,235,175,177,179,175.27,66.56
Kota Tual,244,301,232,190,416.01,405.53
Halmahera Barat,7,4,13,11,21.36,23.86
Halmahera Tengah,67,105,85,10,50.72,26.51
Kepulauan Sula,142,263,111,110,145.28,127.75
Halmahera Selatan,181,50,43,145,172.21,97.25
Halmahera Utara,22,108,19,51,45.42,13.5
Halmahera Timur,24,21,72,40,73.43,95.29
Pulau Morotai,4,53,13,213,162.24,82.96
Pulau Taliabu,74,237,220,125,160.08,487.8
Kota Ternate,68,36,37,45,52.11,47.74
Kota Tidore Kepulauan,41,42,10,44,12.51,30.58
Fakfak,239,232,260,238,282.25,244.26
Kaimana,331,294,183,252,83.83,105.4
Teluk Wondama,145,149,140,50,109.15,133.06
Teluk Bintuni,146,176,103,298,173.22,205.15
Manokwari,66,81,184,125,77.96,57.81
Sorong Selatan,92,50,47,44,43.05,103.88
Sorong,78,100,64,88,77.86,91.94
Raja Ampat,89,87,163,72,110.45,58.06
Tambrauw,-,19,4,32,33.49,0.66
Maybrat,24,1,8,32,76.11,2.45
Manokwari Selatan,24,31,34,82,77.11,71.26
Pegunungan Arfak,14,-,4,6,2.75,31.18
Kota Sorong,256,259,226,214,229.94,325.84
Merauke,90,43,54,57,77.05,58.14
Jayawijaya,-,19,117,18,5.28,1.22
Jayapura,32,77,113,28,89.23,78.59
Nabire,83,54,244,187,130.35,208.46
Kepulauan Yapen,22,33,16,47,36.88,28.07
Biak Numfor,56,51,132,62,114.42,22.68
Paniai,3,-,-,-,-,0.34
Puncak Jaya,17,6,15,-,-,-
Mimika,141,67,85,95,88.05,128.24
Boven Digoel,4,8,3,14,18.92,7.6
Mappi,36,41,38,33,48.22,40.78
Asmat,83,10,37,76,69.69,101.17
Yahukimo,79,-,-,-,-,-
Pegunungan Bintang,37,32,52,-,16.3,13.79
Tolikara,-,1,-,-,0.61,0.35
Sarmi,25,60,3,4,14.24,7.91
Keerom,7,40,98,48,53.1,47.43
Waropen,376,2,18,30,15.43,9
Supiori,-,32,4,-,2.38,71.04
Mamberamo Raya,1,-,-,-,4.16,-
Nduga,-,-,-,-,-,-
Lanny Jaya,-,-,1,-,-,-
Mamberamo Tengah,-,-,4,-,8.28,-
Yalimo,-,-,1,2,3.77,0.22
Puncak,-,-,-,-,-,-
Dogiyai,-,16,4,10,3.77,0.55
Intan Jaya,-,-,-,-,-,-
Deiyai,-,-,-,-,-,0.56
Kota Jayapura,122,120,64,79,81.48,22.92
