Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Timur,248,219,223,226,200.44,214.17
Lampung Tengah,207,198,246,227,235.86,299.31
Lampung Utara,295,357,313,378,425.27,454.36
Way Kanan,412,316,342,303,354.26,270.84
Tulangbawang,338,388,370,342,437.18,344.46
Pesawaran,373,345,350,411,432.15,445.05
Pringsewu,263,215,274,291,326.69,328.41
Mesuji,439,258,293,245,268.6,349.41
Tulang Bawang Barat,186,197,206,246,230.61,260.86
Pesisir Barat,58,72,125,67,79.24,110.6
Kota Bandar Lampung,230,301,276,308,354.41,319.06
Kota Metro,304,192,215,261,223.91,251.08
Bangka,905,858,923,950,859.14,1187.79
Belitung,374,326,376,380,381.64,330.85
Bangka Barat,726,654,732,785,657.65,669.9
Bangka Tengah,1159,1236,1315,1414,1172.99,1720.86
Bangka Selatan,1738,1939,2042,1956,1756.57,2290.02
Belitung Timur,365,313,436,432,330.79,338.97
Kota Pangkal Pinang,903,740,769,978,990.79,804.58
Karimun,185,164,153,162,168.71,149.26
Bintan,185,145,189,200,163.57,160.8
Natuna,124,142,128,136,108.96,115.32
Lingga,318,327,372,376,342.2,278.68
Kepulauan Anambas,46,36,30,33,23.66,67.36
Kota Batam,120,106,93,121,151.59,146.66
Kota Tanjung Pinang,141,122,110,132,107.46,121.37
Kep. Seribu,327,389,249,370,364.7,288.65
Kota Jakarta Selatan,87,88,110,107,120.17,154.69
Kota Jakarta Timur,126,98,122,129,157.29,160.07
Kota Jakarta Pusat,74,74,132,87,91.34,62.82
Kota Jakarta Barat,112,131,99,98,113,154.34
Kota Jakarta Utara,110,102,129,132,164.53,202.17
Bogor,131,151,144,166,180.77,148.76
Sukabumi,110,117,124,135,149.24,102.64
Cianjur,77,79,84,105,100.82,96.74
Bandung,162,187,139,142,111.88,156.3
Garut,143,125,137,138,167.24,218.4
Tasikmalaya,164,145,168,195,181.23,204.51
Ciamis,209,217,212,283,225.89,271.37
Kuningan,141,158,158,193,177.06,186.36
Cirebon,166,158,183,199,209.12,209.51
Majalengka,155,128,194,156,165.31,158.12
Sumedang,136,122,157,174,144.16,170.34
Indramayu,323,313,387,458,492.84,438.84
Subang,223,152,239,242,152.45,199.31
Purwakarta,122,95,101,111,142.66,187.16
Karawang,252,230,168,238,230.19,288.34
Bekasi,152,173,158,203,191.86,188.83
Bandung Barat,148,133,116,88,145.81,119.09
Pangandaran,423,385,421,381,405.53,445.38
Kota Bogor,70,78,89,116,71.27,102.47
Kota Sukabumi,57,53,47,55,57.63,36.05
Kota Bandung,108,88,93,131,125.88,118.65
Kota Cirebon,108,112,107,140,124.19,130.38
Kota Bekasi,89,142,163,172,211.79,138.04
Kota Depok,114,129,162,166,209.05,180.52
Kota Cimahi,103,103,97,90,107.12,105.94
Kota Tasikmalaya,104,126,135,90,99.78,99.8
Kota Banjar,216,182,238,207,191.6,260.38
Cilacap,129,123,115,175,178.42,191.01
Banyumas,110,90,97,96,100.71,117.95
Purbalingga,71,88,90,81,86.62,85.75
Banjarnegara,89,55,84,56,39.01,62.18
Kebumen,66,75,62,78,77.04,87.51
Purworejo,84,76,79,59,58.62,87.64
Wonosobo,59,53,36,52,65.14,53.64
Magelang,25,23,27,26,26.4,25.1
Boyolali,39,35,27,28,47.68,39.01
Klaten,36,49,48,39,26.71,46.95
