Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Timur,189,180,158,201,207.14,219.61
Lampung Tengah,173,181,204,222,254.32,303.55
Lampung Utara,119,143,98,97,152.19,166.56
Way Kanan,201,203,216,195,206.24,238.09
Tulangbawang,159,153,147,176,181.09,143.9
Pesawaran,136,168,208,210,187.89,182.36
Pringsewu,179,169,187,209,143.65,165.13
Mesuji,197,151,174,175,215.05,196.44
Tulang Bawang Barat,196,162,182,218,225.97,250.69
Pesisir Barat,75,123,148,154,106.3,97.46
Kota Bandar Lampung,91,79,80,153,159,108.02
Kota Metro,170,96,117,120,93.56,113.1
Bangka,74,42,54,51,80.42,93.32
Belitung,41,59,44,77,169.29,44.99
Bangka Barat,90,60,69,84,98.08,69.92
Bangka Tengah,66,66,55,71,65.2,76.09
Bangka Selatan,50,64,67,28,44.34,50.52
Belitung Timur,35,37,55,73,111,34.08
Kota Pangkal Pinang,61,69,75,100,133.53,95.05
Karimun,123,168,147,127,173.13,157.16
Bintan,135,125,136,198,181.49,175.45
Natuna,199,152,176,174,177.47,243.92
Lingga,53,97,87,165,156.29,124.18
Kepulauan Anambas,165,144,100,125,125.75,257.12
Kota Batam,111,119,137,158,158.31,123.56
Kota Tanjung Pinang,128,77,120,138,104.32,106.08
Kep. Seribu,209,302,278,289,361.48,139.29
Kota Jakarta Selatan,134,115,154,158,183.34,118.71
Kota Jakarta Timur,132,94,118,151,183.67,135.08
Kota Jakarta Pusat,63,66,97,73,85.88,80.16
Kota Jakarta Barat,97,88,79,88,107.39,96.85
Kota Jakarta Utara,117,94,94,125,127.48,169.92
Bogor,106,115,139,145,147.05,125.45
Sukabumi,50,84,79,79,89.11,77.44
Cianjur,47,44,54,87,44.16,45.05
Bandung,87,103,94,110,79.67,82.18
Garut,73,51,67,75,110.11,95.63
Tasikmalaya,57,65,71,96,93.94,58.55
Ciamis,58,79,60,83,96.41,89.17
Kuningan,71,85,119,121,93.18,92.75
Cirebon,96,92,170,125,105.17,138.41
Majalengka,41,33,48,81,73.76,52.33
Sumedang,55,34,91,86,94.72,78.73
Indramayu,189,216,249,253,304.55,267.6
Subang,84,40,96,117,69.25,111.88
Purwakarta,84,88,108,111,126.57,110.46
Karawang,96,102,111,143,116.4,119.57
Bekasi,124,148,137,165,146.38,153.85
Bandung Barat,54,64,88,66,96.41,83.54
Pangandaran,81,75,96,155,113.64,173.81
Kota Bogor,118,72,125,178,99.63,182.48
Kota Sukabumi,63,71,74,71,75.01,78.33
Kota Bandung,77,101,94,130,112.14,112.93
Kota Cirebon,31,52,58,92,93.19,59.49
Kota Bekasi,146,166,160,169,230.05,148.88
Kota Depok,106,94,131,159,187.26,184.97
Kota Cimahi,107,87,83,116,129.81,145.21
Kota Tasikmalaya,62,40,69,64,74.63,86.32
Kota Banjar,66,46,38,56,61.61,69.6
Cilacap,142,145,154,177,186.92,174.42
Banyumas,188,184,201,234,245.18,245.4
Purbalingga,128,140,124,139,138.96,132.77
Banjarnegara,160,132,129,161,167.23,190.4
Kebumen,183,206,179,234,208.55,182.27
Purworejo,130,101,123,136,114.59,115.59
Wonosobo,152,143,152,188,171.51,217.91
Magelang,88,91,130,170,181.43,201.26
Boyolali,177,147,165,200,168.19,206
Klaten,141,187,166,220,206.74,194.26
Sukoharjo,166,183,175,243,188.23,177.56
Wonogiri,275,262,233,292,305.19,279.46
Karanganyar,180,184,231,245,214.58,237.4
Sragen,174,168,177,285,243.04,301.65
Grobogan,152,184,220,234,241.37,285
Blora,150,148,149,178,175.65,145.94
Rembang,204,197,181,297,245,188.38
Pati,135,121,153,169,200.52,189.44
Kudus,138,107,103,127,139.94,148.65
Jepara,104,98,122,146,117.73,91.64
Demak,167,183,171,214,237.56,203.06
Semarang,179,169,186,244,254.04,293.1
Temanggung,126,105,127,159,133.16,158.99
Kendal,226,217,206,230,236.42,266.06
Batang,150,185,192,193,195.79,268.77
Pekalongan,178,168,158,188,176.11,195.07
Pemalang,150,150,149,155,149.4,144.47
Tegal,130,154,170,240,200.04,180.73
Brebes,125,140,131,161,162.72,162.94
Kota Magelang,105,95,100,180,120.41,125.38
Kota Surakarta,97,63,145,176,209.73,141.13
Kota Salatiga,110,127,108,176,209.67,175.5
Kota Semarang,162,131,141,237,232.68,182.43
Kota Pekalongan,156,163,169,189,215.38,135.58
Kota Tegal,136,104,151,178,108.07,137.81
Kulon Progo,69,71,80,100,90.71,87.24
Bantul,73,85,104,124,102.15,137.09
Gunung Kidul,143,147,145,177,143.83,156.05
Sleman,124,116,112,136,173.31,205.71
Kota Yogyakarta,74,71,95,118,124.66,94.77
Pacitan,192,231,217,267,242.91,281.67
Ponorogo,138,152,196,200,237.29,221.82
Trenggalek,117,122,130,169,143.11,158.16
Tulungagung,105,108,118,181,198.47,139.32
Blitar,98,88,105,124,92.38,99.66
Kediri,86,74,79,125,122.75,113.64
Malang,154,154,153,215,184.4,199.58
Lumajang,136,127,114,173,185.88,223.2
Jember,116,114,106,116,154.91,107.88
Banyuwangi,109,107,118,123,117.14,120.54
Bondowoso,131,100,111,145,83.14,130.16
Situbondo,192,145,158,184,174.45,189.19
Probolinggo,166,144,184,199,164.19,223.04
Pasuruan,156,182,187,211,232.14,221.08
Sidoarjo,169,179,171,230,186.27,208.07
Mojokerto,174,174,150,245,210.17,230.1
Jombang,128,134,142,191,174.56,177.91
Nganjuk,156,155,166,229,229.55,246.12
Madiun,179,141,169,236,208.11,247.64
Magetan,180,164,171,204,218.79,216.28
Ngawi,187,155,173,182,202.15,204.36
Bojonegoro,146,163,174,199,187.1,225.2
Tuban,147,159,155,179,195.94,236.52
Lamongan,239,234,268,286,282.78,302.98
Gresik,150,135,135,196,188.56,177.56
Bangkalan,128,156,195,157,201.21,210.11
Sampang,131,122,119,131,130.44,130.84
Pamekasan,130,133,139,128,106.78,161.41
Sumenep,180,119,151,231,216.15,269.26
Kota Kediri,71,78,71,100,142.06,127.85
Kota Blitar,76,90,92,136,137.96,116.85
Kota Malang,118,134,133,156,207.45,163.96
Kota Probolinggo,125,118,125,178,132.5,138.75
Kota Pasuruan,101,135,147,159,182.49,158.29
Kota Mojokerto,108,118,140,179,197.17,207.93
Kota Madiun,158,132,161,208,191.5,193.07
Kota Surabaya,133,107,115,163,160.86,190.83
Kota Batu,218,194,192,216,222.35,217.87
Pandeglang,160,137,149,199,151.61,151.71
Lebak,112,115,155,248,189.54,152.73
Tangerang,236,242,266,274,319.2,276.47
Serang,106,157,173,105,136.95,142.85
Kota Tangerang,160,117,161,153,229.91,186.84
