Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Lampung Timur,357,296,345,401,419.25,454.63
Lampung Tengah,417,376,336,396,403.03,557.94
Lampung Utara,515,407,362,359,423.56,493.82
Way Kanan,558,405,448,467,450.42,464.15
Tulangbawang,371,334,299,343,383.99,419.72
Pesawaran,387,358,406,372,380.34,393.31
Pringsewu,367,327,323,342,338.75,380.9
Mesuji,529,374,419,377,382.16,455.59
Tulang Bawang Barat,414,368,339,354,312.09,540.6
Pesisir Barat,496,458,412,429,355.78,430.21
Kota Bandar Lampung,297,259,298,253,319.21,263.47
Kota Metro,275,212,186,185,154.14,182.08
Bangka,254,241,270,267,253.16,243.37
Belitung,220,204,219,234,304.81,204.73
Bangka Barat,275,231,243,240,148.44,168.01
Bangka Tengah,274,295,251,299,305.91,324.93
Bangka Selatan,305,282,251,275,287.32,313.9
Belitung Timur,293,302,330,352,325.05,318.85
Kota Pangkal Pinang,203,185,206,216,224.68,203.73
Karimun,314,289,336,297,337.74,362.42
Bintan,301,255,312,384,360.33,375.49
Natuna,446,457,522,561,499.07,431.62
Lingga,285,329,339,329,326.13,334.69
Kepulauan Anambas,438,545,461,428,459.81,500.98
Kota Batam,275,256,311,293,296.32,250.4
Kota Tanjung Pinang,306,216,211,254,307.4,248.76
Kep. Seribu,431,325,302,277,546.19,387.94
Kota Jakarta Selatan,222,227,239,267,342.75,248.05
Kota Jakarta Timur,190,238,184,253,414.42,289.66
Kota Jakarta Pusat,166,152,165,172,206.34,182.98
Kota Jakarta Barat,147,148,145,174,222.96,223.57
Kota Jakarta Utara,179,126,157,181,272.15,250.19
Bogor,277,293,288,311,370.89,311.96
Sukabumi,264,259,246,284,297.97,295.92
Cianjur,211,204,215,269,243.53,276.67
Bandung,173,208,188,234,235.9,213.15
Garut,206,199,256,263,239.05,269.04
Tasikmalaya,204,208,180,255,325.3,297.21
Ciamis,159,176,162,198,258.28,235.6
Kuningan,127,208,156,215,183.47,166.06
Cirebon,115,147,163,167,187.7,212.89
Majalengka,177,205,228,195,226.27,227.65
Sumedang,158,156,176,174,200.85,272.19
Indramayu,191,220,192,236,295.77,336.42
Subang,156,185,205,225,284.68,262.58
Purwakarta,234,272,256,347,407.68,354.87
Karawang,244,143,150,222,278.53,254.11
Bekasi,267,260,225,366,320.7,325.16
Bandung Barat,135,175,172,179,186.49,210.55
Pangandaran,165,177,167,233,188.9,227.2
Kota Bogor,193,207,175,222,247.6,285.27
Kota Sukabumi,171,239,204,181,280.63,207.5
Kota Bandung,130,159,152,176,220.71,267.04
Kota Cirebon,163,116,108,180,187.63,153.23
Kota Bekasi,167,188,173,245,374.91,343.47
Kota Depok,222,222,290,303,370.02,332.81
Kota Cimahi,164,169,183,171,180,196.06
Kota Tasikmalaya,151,101,129,160,190.09,185.24
Kota Banjar,172,133,139,151,183.79,246.78
Cilacap,251,250,203,322,314.4,299.95
Banyumas,275,230,246,271,322.13,325.11
Purbalingga,216,251,221,193,210.2,242.55
Banjarnegara,271,238,231,309,301.27,397.34
Kebumen,292,278,277,327,303.92,267.61
Purworejo,241,222,264,248,262.71,289.42
Wonosobo,288,267,248,256,331.11,372.99
Magelang,247,230,221,245,259,302.79
Boyolali,251,254,257,289,276.73,331.19
Klaten,231,233,245,270,323.28,330.58
Sukoharjo,290,326,325,288,269.92,329.33
Wonogiri,346,335,299,332,403,431.38
Karanganyar,249,265,298,342,370.24,467.15
Sragen,290,301,332,412,437.37,628.39
Grobogan,257,244,256,279,314.77,447.29
Blora,197,209,181,202,168.41,195.99
Rembang,229,208,221,312,311.9,246.64
Pati,205,263,194,263,293.42,284.11
Kudus,231,200,220,252,339.91,305.89
Jepara,145,177,171,228,228.78,254.05
Demak,202,218,207,247,293.15,344.07
Semarang,336,294,268,319,366.48,434.14
Temanggung,276,259,261,300,304.47,362.64
Kendal,242,248,240,249,306.19,356.76
Batang,181,207,214,217,230.89,307.97
Pekalongan,198,172,184,204,199.63,245.85
Pemalang,222,223,213,261,266.64,285.52
Tegal,178,165,205,253,239.8,279.79
Brebes,181,180,173,217,221.79,260.46
Kota Magelang,166,140,127,209,221.88,202.84
Kota Surakarta,287,194,203,248,343.31,300.99
Kota Salatiga,183,174,184,263,280.78,247.67
Kota Semarang,179,179,201,298,415.48,266.68
Kota Pekalongan,125,115,113,170,150.64,127.23
Kota Tegal,152,129,132,166,157.45,222.71
Kulon Progo,220,199,195,235,252.77,311.66
Bantul,198,202,172,272,265.94,313.58
Gunung Kidul,268,243,260,282,287.33,366.63
Sleman,185,160,158,242,298.39,378.18
Kota Yogyakarta,137,133,138,165,185.96,160.27
Pacitan,237,259,198,222,261.3,361.47
Ponorogo,155,158,145,171,158.65,199.67
Trenggalek,222,212,200,205,276.93,316.69
Tulungagung,218,205,175,253,316.71,306.29
Blitar,145,161,136,206,201.65,200.33
