Lampung Timur,33,22,24,38,50.21,17.22
Lampung Tengah,38,22,21,30,36.09,13.18
Lampung Utara,29,49,32,32,61.06,30.6
Way Kanan,25,42,85,57,48.15,56.63
Tulangbawang,31,14,15,32,40.52,65.03
Pesawaran,27,34,45,34,38.3,42.53
Pringsewu,34,21,26,42,29.08,94.67
Mesuji,31,13,4,23,49.06,21.72
Tulang Bawang Barat,7,10,6,15,10.45,20.04
Pesisir Barat,67,18,31,29,43.4,17.66
Kota Bandar Lampung,164,102,105,165,125.17,95.8
Kota Metro,80,36,55,127,72.38,92.48
Bangka,118,104,176,122,135.48,177.65
Belitung,87,152,112,105,148.07,74.94
Bangka Barat,146,97,72,179,133.5,146.83
Bangka Tengah,122,152,111,154,206.82,192.53
Bangka Selatan,56,128,137,78,90.95,111.69
Belitung Timur,149,134,177,181,161.09,61.15
Kota Pangkal Pinang,164,127,103,149,280.84,282.85
Karimun,246,344,201,157,255.48,184.23
Bintan,332,205,166,260,263.52,162.52
Natuna,284,144,177,336,205.96,245.13
Lingga,135,197,162,211,368.94,129.28
Kepulauan Anambas,181,373,224,282,319.93,371.41
Kota Batam,212,184,201,290,379.7,332.61
Kota Tanjung Pinang,291,225,148,302,169.87,201.11
Kep. Seribu,216,101,70,59,130.02,85.6
Kota Jakarta Selatan,150,108,173,127,195.25,137.58
Kota Jakarta Timur,217,140,163,187,298.81,239.85
Kota Jakarta Pusat,123,84,195,148,114.23,173.17
Kota Jakarta Barat,161,97,122,156,119.67,171.05
Kota Jakarta Utara,212,176,105,168,145.41,166.87
Bogor,108,135,106,122,147.35,69.21
Sukabumi,33,39,86,68,48.8,108.29
Cianjur,76,37,29,51,38.74,46.38
Bandung,127,117,78,129,138.59,97.48
Garut,58,22,85,31,77.83,47.64
Tasikmalaya,30,39,66,25,65.89,42.88
Ciamis,44,48,27,54,60.43,54.15
Kuningan,100,64,83,148,110.53,87.88
Cirebon,53,100,84,87,128.54,149.78
Majalengka,67,48,73,127,78.84,60.95
Sumedang,62,75,159,121,132.84,81.16
Indramayu,66,93,85,142,166.5,153.29
Subang,76,52,75,103,73.86,148.14
Purwakarta,97,141,80,147,127.18,149.12
Karawang,179,120,83,174,63.43,95.94
Bekasi,126,134,116,164,165.41,152.06
Bandung Barat,55,69,97,77,70.79,66.83
Pangandaran,56,107,43,75,47.81,111.09
Kota Bogor,137,97,110,129,130.7,150.62
Kota Sukabumi,119,154,158,210,113.49,248
Kota Bandung,210,215,192,295,242.07,245.32
Kota Cirebon,91,152,126,263,215.72,285.34
Kota Bekasi,208,185,229,219,297.26,234.95
Kota Depok,214,131,144,189,265.1,224.29
Kota Cimahi,179,168,138,289,273.15,251.32
Kota Tasikmalaya,61,67,95,171,167.44,177.08
Kota Banjar,43,50,28,59,71.35,65.45
Cilacap,33,45,35,40,68.64,43.09
Banyumas,46,44,41,55,103.44,78.81
Purbalingga,26,36,52,35,57.27,41.24
Banjarnegara,36,29,29,46,19.67,39.68
Kebumen,18,47,48,82,47.23,82.34
Purworejo,24,29,22,29,51.17,36.95
Wonosobo,50,26,48,47,70.44,60.42
Magelang,27,49,12,42,33.08,65.69
Boyolali,51,56,88,86,58.1,68.63
Klaten,40,77,66,112,109.07,111.88
Sukoharjo,44,70,97,112,78.89,108.39
Wonogiri,40,7,9,32,66.6,55.31
Karanganyar,34,33,27,101,88.37,85.82
Sragen,82,23,54,72,102.64,51.07
Grobogan,19,29,24,25,38.45,61.99
Blora,16,21,7,23,39.43,30.87
Rembang,10,37,6,49,33.46,34.65
Pati,24,21,20,52,86.79,76.1
Kudus,42,50,57,55,61.68,51.4
Jepara,24,25,23,23,32.89,28.65
Demak,71,102,64,45,41.32,89.72
Semarang,58,80,69,82,72.17,95.33
Temanggung,15,9,42,18,35.1,32.52
Kendal,58,64,51,102,150.46,130.49
Batang,44,30,29,93,35.44,35.23
Pekalongan,51,69,66,101,128.3,160.36
Pemalang,131,98,119,94,64.43,127.13
Tegal,80,69,47,111,162.51,56.25
Brebes,45,57,61,64,26.38,57.83
Kota Magelang,48,64,59,101,155.53,141.56
Kota Surakarta,70,36,82,134,175.02,105.59
Kota Salatiga,81,81,93,162,193.95,250.29
Kota Semarang,121,89,91,169,146.25,149.76
Kota Pekalongan,58,101,107,179,120.69,162.75
Kota Tegal,72,39,106,70,110.07,113.28
Kulon Progo,25,42,44,42,52.15,75.02
Bantul,65,115,128,156,150.18,201.4
Gunung Kidul,41,18,11,28,35.06,40.27
