Lampung Timur,394,480,411,489,508.04,382.97
Lampung Tengah,331,389,345,338,438.29,459.1
Lampung Utara,309,463,340,416,461.02,426.54
Way Kanan,409,391,432,417,426.03,514.47
Tulangbawang,362,298,314,347,386.86,430.32
Pesawaran,296,371,356,331,335.9,392.66
Pringsewu,347,416,449,482,478.78,525.48
Mesuji,384,294,279,408,532.45,449.63
Tulang Bawang Barat,267,257,351,287,363.27,392.77
Pesisir Barat,326,287,358,361,331.14,392.66
Kota Bandar Lampung,762,550,632,666,773.91,694.48
Kota Metro,557,403,577,499,416.8,468.73
Bangka,904,1000,889,984,930.64,973.65
Belitung,678,587,658,685,855.11,513.01
Bangka Barat,713,749,803,834,728.66,798.54
Bangka Tengah,749,818,706,798,918.32,740.75
Bangka Selatan,488,695,436,448,540.47,680.87
Belitung Timur,648,823,796,772,883.32,557.64
Kota Pangkal Pinang,851,851,885,1089,894.43,892.98
Karimun,640,730,625,554,774.84,731.51
Bintan,827,730,748,924,721.79,729.21
Natuna,952,782,807,1050,853.31,896.96
Lingga,469,492,529,614,676.06,549.58
Kepulauan Anambas,767,655,923,806,922.09,1106.81
Kota Batam,652,625,704,843,1093.06,954.47
Kota Tanjung Pinang,639,513,665,864,692.32,627.77
Kep. Seribu,1040,818,725,644,653.48,572.01
Kota Jakarta Selatan,719,579,788,767,1034.16,671.64
Kota Jakarta Timur,649,533,543,593,905.46,709.56
Kota Jakarta Pusat,630,397,649,488,648.01,603.71
Kota Jakarta Barat,429,434,464,552,523.8,684.32
Kota Jakarta Utara,589,432,624,567,573.07,653.41
Bogor,551,582,556,607,621.77,501.77
Sukabumi,428,431,502,553,466.24,529.32
Cianjur,428,411,519,410,379.32,475.92
Bandung,490,560,498,566,528.17,583.64
Garut,394,364,415,349,421.71,424.24
Tasikmalaya,347,459,450,426,566.32,430.54
Ciamis,511,556,517,608,594.62,633.64
Kuningan,492,586,613,847,679.19,628.81
Cirebon,468,622,660,707,700.37,695.69
Majalengka,604,614,649,692,658.11,689.04
Sumedang,466,459,617,640,657.31,563.62
Indramayu,576,642,760,921,911.15,1000.57
Subang,471,462,559,560,561.12,624.35
Purwakarta,538,570,567,672,713.09,747.55
Karawang,575,504,451,575,600.02,543.26
Bekasi,617,530,503,651,681.52,667.02
Bandung Barat,452,471,464,426,549.77,538.41
Pangandaran,474,440,564,575,594.14,649.91
Kota Bogor,644,489,649,755,522.27,899.1
Kota Sukabumi,556,864,639,755,648.84,718.39
Kota Bandung,704,599,702,727,772.46,791.37
Kota Cirebon,559,679,654,797,577.41,721.68
Kota Bekasi,690,721,839,875,911.95,821.05
Kota Depok,618,562,719,800,1002.13,901.85
Kota Cimahi,693,706,738,864,789.47,772.05
Kota Tasikmalaya,499,523,490,540,642.18,616.46
Kota Banjar,449,332,415,485,448.69,571.28
Cilacap,499,481,350,544,574.25,591.17
Banyumas,461,445,495,563,589.91,631.26
Purbalingga,428,442,489,395,471.3,560.62
Banjarnegara,429,360,417,496,442.24,531.37
Kebumen,417,634,619,620,508.54,597.07
Purworejo,421,393,484,540,506.85,456.14
Wonosobo,331,342,309,388,416.79,441.26
Magelang,326,336,438,413,451,516.89
Boyolali,492,459,610,547,527.29,563.56
Klaten,454,474,490,611,605.85,569.16
Sukoharjo,487,561,567,800,582.89,632.34
Wonogiri,575,469,467,637,677.01,706.06
Karanganyar,516,536,569,709,701.24,693.36
Sragen,535,470,537,757,646.67,775.61
Grobogan,440,492,547,548,600.97,718.37
Blora,368,421,430,436,419.76,410.06
Rembang,357,369,331,441,504.02,437.08
Pati,559,660,643,614,721.1,765.03
Kudus,622,520,517,647,634.91,690.55
Jepara,563,524,500,633,653.23,653.79
Demak,569,669,708,678,810.24,792.66
Semarang,705,614,648,699,700.59,899.72
Temanggung,336,311,430,347,336.99,437.15
Kendal,593,624,653,688,677.71,787.42
Batang,498,531,593,646,544.24,596.19
Pekalongan,469,441,501,530,511.84,627.18
Pemalang,524,496,495,593,556.01,690.1
Tegal,406,369,446,550,596.32,540
Brebes,439,463,416,541,475.93,611.18
Kota Magelang,426,420,329,598,529.07,461.55
Kota Surakarta,443,363,462,513,698.6,616.4
Kota Salatiga,602,686,687,1026,976.62,785.54
Kota Semarang,728,583,602,721,826.86,622.22
Kota Pekalongan,491,540,535,654,673.35,515.94
Kota Tegal,485,406,578,549,507.03,675.9
Kulon Progo,275,328,392,406,471.84,519.89
Bantul,491,582,562,711,697.92,771.63
Gunung Kidul,422,401,392,525,479.72,568.22
Sleman,612,546,577,643,782.72,766.93
Kota Yogyakarta,504,439,448,547,535.29,471.17
Pacitan,401,414,406,425,477.13,552.93
Ponorogo,391,397,433,508,522.81,552.55
Trenggalek,354,342,358,371,385.81,317.41
Tulungagung,492,531,624,593,673.87,553.44
Blitar,359,312,319,444,415.27,467.82
Kediri,589,623,581,653,662.21,652.69
Malang,459,430,379,505,483.73,533.25
Lumajang,447,391,412,663,683.86,689.32
Jember,375,357,352,451,458.1,472.16
Banyuwangi,396,359,403,442,438.72,449.57
Bondowoso,307,294,340,395,279.18,373.51
Situbondo,485,436,401,466,419.47,424.29
Probolinggo,314,268,388,363,335.62,381.43
Pasuruan,553,524,559,513,567.19,575.94
Sidoarjo,649,697,650,910,869.42,862.81
Mojokerto,548,526,511,574,597.76,605.11
Jombang,441,411,405,564,559.28,520.38
Nganjuk,603,560,681,769,647.86,753.92
Madiun,537,423,411,520,534.1,657.63
Magetan,452,457,434,459,499.25,498.29
Ngawi,435,479,385,478,370.4,466.1
Bojonegoro,345,331,340,341,339.06,372.08
Tuban,297,273,242,315,416.35,404.34
Lamongan,422,452,488,425,479.87,556.5
Gresik,395,347,293,549,591.71,668.79
Bangkalan,377,416,426,353,428.74,386.53
Sampang,359,309,347,384,415.97,362.34
Pamekasan,410,378,378,414,416.76,432.49
Sumenep,438,309,459,514,687.13,752.39
Kota Kediri,656,592,525,683,778.8,705.37
Kota Blitar,589,510,464,694,580.11,590.25
Kota Malang,552,499,590,626,783.31,648.37
Kota Probolinggo,522,401,405,470,516.55,442.24
Kota Pasuruan,500,458,441,464,601.81,582.58
Kota Mojokerto,558,487,554,754,651.93,661.11
Kota Madiun,631,454,493,614,711.99,592.5
Kota Surabaya,563,456,486,680,725.76,829.87
Kota Batu,564,531,573,669,583.75,579.58
Pandeglang,439,404,458,466,507.19,451.26
Lebak,442,510,407,485,557.63,494.3
Tangerang,509,524,538,678,710.32,679.87
Serang,512,685,553,507,634.04,621.09
Kota Tangerang,656,612,706,694,815.86,827.81
Kota Cilegon,761,445,537,727,662.03,586.25
Kota Serang,652,489,555,609,622.19,574.73
Kota Tangerang Selatan,666,648,760,856,754.54,741.45
Jembrana,211,238,298,334,344.95,357.09
Tabanan,280,338,351,437,341.65,375.32
Badung,417,490,452,586,432.04,586.43
Gianyar,129,210,287,290,391.05,341.36
Klungkung,318,223,272,247,225.38,332.67
Bangli,127,134,127,174,203.05,197.63
Karangasem,87,55,99,79,102.59,81.63
Buleleng,159,191,216,186,213.75,184.7
Kota Denpasar,457,391,455,494,553.75,526.6
Lombok Barat,201,206,214,224,214.08,270.47
Lombok Tengah,128,128,189,131,113.3,124.41
Lombok Timur,109,135,195,235,237.48,254.19
Sumbawa,314,206,208,317,339.64,408.21
Dompu,131,122,149,171,162.05,211.39
Bima,212,187,129,234,265.16,256.92
Sumbawa Barat,279,219,302,394,450.24,416.58
Lombok Utara,277,226,238,213,242.83,233.79
Kota Mataram,458,345,456,472,581.38,516.61
Kota Bima,242,213,301,425,297.04,326.23
Sumba Barat,78,102,85,115,122.27,170.48
Sumba Timur,128,99,83,176,146.35,158.03
Kupang,125,115,143,138,213.48,188.54
Timor Tengah Selatan,145,176,159,193,268.23,219.09
Timor Tengah Utara,223,159,168,224,166.83,196.45
Belu,190,129,160,180,258.45,276.22
Alor,119,104,128,188,163.78,263.95
Lembata,119,214,183,222,252.4,269.2
Flores Timur,205,205,215,170,276.82,305.62
Sikka,122,103,93,113,102.91,71.01
Ende,218,211,215,250,289.86,378
Ngada,168,112,109,142,130.59,197.88
Manggarai,184,179,183,212,225.09,205.17
Rote Ndao,153,168,143,209,72.6,122.73
Manggarai Barat,198,178,162,207,243.88,287.03
Sumba Tengah,53,49,37,60,80.23,89.52
Sumba Barat Daya,58,22,38,65,72.14,76.95
Nagekeo,132,95,123,142,91.74,137.36
Manggarai Timur,52,59,67,101,85.88,77.39
Sabu Raijua,67,119,120,247,148.43,119.7
Malaka,63,114,86,108,64.07,156.95
Kota Kupang,281,252,284,408,478.78,384.17
Sambas,446,473,467,431,424.23,462.19
Bengkayang,436,397,402,511,459.71,525.71
Landak,376,266,334,368,454.69,584.69
Mempawah,430,347,355,355,382,480.41
Sanggau,458,504,485,534,714.6,714.33
Ketapang,595,438,463,543,566.44,466.12
Sintang,329,230,284,406,452.32,542.75
Kapuas Hulu,440,347,509,381,766.16,501.49
Sekadau,281,208,426,424,550.96,598.02
Melawi,424,481,426,550,712.54,541.17
Kayong Utara,465,464,556,560,612.87,556.98
Kubu Raya,457,507,507,446,420.46,481.66
Kota Pontianak,812,668,636,796,769.53,833.62
Kota Singkawang,611,636,736,693,685.3,572.31
Kotawaringin Barat,1062,948,948,1263,948.51,1156.17
Kotawaringin Timur,1015,867,934,1128,1199.69,1041.82
Kapuas,746,714,814,790,938.85,932.92
Barito Selatan,821,920,874,965,1264.6,807.91
Barito Utara,778,938,1010,977,932.17,1109.56
Sukamara,824,1070,1128,1089,1061.14,1042.87
Lamandau,1079,1134,1436,1237,1270.3,1539.96
Seruyan,1016,1125,978,1167,1192.1,1231.5
Katingan,935,894,931,712,951.62,683.74
Pulang Pisau,820,955,893,1281,1028.99,1107.57
Gunung Mas,581,738,855,745,602.19,725.61
Barito Timur,896,1010,1020,1138,1287.56,983.63
Murung Raya,942,688,791,943,1132.81,1005.64
Kota Palangka Raya,1109,1000,896,984,1259.51,939.33
Tanah Laut,798,762,884,993,954.36,1060.73
Kota Baru,1044,886,920,1010,1189.67,975.25
Banjar,987,994,884,1153,1040.87,952.2
Barito Kuala,849,737,759,881,897.22,748.91
Tapin,1060,1101,1097,1296,1316.85,1205.8
Hulu Sungai Selatan,692,849,902,948,1002.1,931.44
Hulu Sungai Tengah,724,828,779,931,806.88,769.52
Hulu Sungai Utara,755,659,732,796,1035.76,952.93
Tabalong,944,912,1065,1206,1270.52,1358.94
Tanah Bumbu,887,1018,1027,990,1048.14,970.92
Balangan,874,754,845,1043,1016.27,971.67
Kota Banjarmasin,1123,895,999,1147,946.73,853.48
Kota Banjar Baru,1098,1156,1316,1258,1398.32,1216.86
Paser,764,860,1020,980,940.93,933.83
Kutai Barat,761,891,932,756,837.97,1005.1
Kutai Kartanegara,725,708,969,873,989.25,904.24
Kutai Timur,1012,1011,1005,1238,1016.56,1297.16
Berau,1213,1113,1278,1242,1168.16,1123.98
Penajam Paser Utara,835,886,899,905,883.02,816.1
Mahakam Ulu,663,748,577,698,858.87,1069.47
Kota Balikpapan,911,518,582,673,976.67,1032.97
Kota Samarinda,1021,674,924,902,1171.39,1121.69
Kota Bontang,877,871,902,894,824.14,847.12
Malinau,827,732,742,633,889,809.62
Bulungan,1008,922,1087,1141,940.82,996.32
Tana Tidung,927,991,963,1078,1532.82,879.25
Nunukan,1094,957,1064,1086,1262.83,1021.23
Kota Tarakan,974,872,945,1182,1039.22,1104.13
Bolaang Mongondow,220,201,346,367,340.71,450.17
Minahasa,296,209,269,343,411.08,404.5
Kepulauan Sangihe,436,521,539,581,651.7,505.95
Kepulauan Talaud,263,305,275,356,316.01,617.57
Minahasa Selatan,165,150,182,259,381.84,233.54
Minahasa Utara,381,345,431,436,537.25,341.92
Bolaang Mongondow Utara,247,263,277,462,441.28,286.81
Siau Tagulandang Biaro,429,378,378,355,407.71,513.19
Minahasa Tenggara,314,226,197,320,280.34,315.99
Bolaang Mongondow Selatan,236,307,241,393,544.56,354.59
Bolaang Mongondow Timur,359,320,297,415,533.32,445.36
Kota Manado,496,414,456,430,528.31,425.86
Kota Bitung,584,519,475,752,831.55,594.7
Kota Tomohon,347,198,210,301,306.54,291.7
Kota Kotamobagu,438,314,282,451,481.43,457.53
Banggai Kepulauan,212,213,372,396,332.37,353.28
Banggai,569,458,455,443,676.99,502.19
Morowali,779,733,879,873,846.44,953.39
Poso,461,445,485,514,689.08,611.5
Donggala,430,420,389,425,494.52,514.81
Toli-Toli,591,547,511,408,575.27,460.73
Buol,373,407,405,472,417.82,382.66
Parigi Moutong,430,479,499,532,625.38,710.75
Tojo Una-Una,417,551,480,626,650.14,526.68
Sigi,302,364,281,327,389.18,455.75
Banggai Laut,499,396,318,435,467.04,502.63
Morowali Utara,479,398,464,868,568.79,871.47
Kota Palu,639,610,536,592,802.77,712.62
Kepulauan Selayar,522,603,568,686,696.95,794.84
Bulukumba,468,371,344,410,603.14,526.52
Bantaeng,345,289,479,464,462.97,435.47
Jeneponto,309,273,410,407,398.86,443.16
Takalar,324,326,315,488,469.88,471.49
Gowa,411,389,528,479,564.67,548.85
Sinjai,345,364,441,621,446.31,431.54
Maros,467,509,586,599,675.78,744.74
Pangkajene dan Kepulauan,530,454,546,619,674.29,793.47
Barru,609,539,666,672,679.8,664.64
Bone,345,367,406,433,488.61,477.04
Soppeng,451,410,431,543,564.3,534.04
Wajo,503,553,580,673,599.88,686.85
Sidenreng Rappang,425,517,503,598,529.12,448.41
Pinrang,359,380,452,605,426.45,521.71
Enrekang,402,375,445,611,576.8,701.96
Luwu,381,322,352,365,417.63,392.87
Tana Toraja,114,168,206,206,208.74,186.6
Luwu Utara,320,350,391,453,497.45,486.6
Luwu Timur,516,555,499,622,616.05,684.18
Toraja Utara,254,212,238,317,241.4,352.04
Kota Makasar,628,532,589,620,752.15,628.84
Kota Parepare,507,455,482,808,635.41,646.1
Kota Palopo,447,412,447,521,554.81,546.26
Buton,220,203,255,315,211.83,283.06
Muna,213,235,209,266,253.39,282.07
Konawe,434,373,364,387,442.04,541.29
Kolaka,461,479,610,504,586.51,676.38
Konawe Selatan,402,356,462,554,481.46,509.18
Bombana,499,363,569,562,581.1,624.22
Wakatobi,216,172,317,333,270.5,467.51
Kolaka Utara,423,491,429,598,604.87,537.23
Buton Utara,201,190,279,378,261.96,306.69
Konawe Utara,397,559,557,633,742.03,681.68
Kolaka Timur,585,377,437,481,484.58,612.59
Konawe Kepulauan,244,263,302,285,296.96,446.06
Muna Barat,146,191,186,266,238.56,292.88
Buton Tengah,339,153,141,197,249.22,265.93
Buton Selatan,127,117,158,172,124.09,215.76
Kota Kendari,703,530,532,622,804.02,651.34
Kota Baubau,330,291,430,459,524.36,393.78
Boalemo,254,241,316,443,404.59,454
Gorontalo,200,241,247,386,416.92,396.09
Pohuwato,320,361,248,466,506.19,371.07
Bone Bolango,393,326,319,489,424.77,383.72
Gorontalo Utara,179,188,337,443,418.7,542.07
Kota Gorontalo,646,528,512,687,639.04,770.97
Majene,337,445,418,513,396.48,441.28
Polewali Mandar,386,402,380,372,370.7,415.39
Mamasa,164,175,223,115,152.34,234.58
Mamuju,433,339,409,473,515.12,425.2
Mamuju Utara,844,841,731,767,838.86,868.55
Mamuju Tengah,366,502,432,582,584.51,466.78
Maluku Tenggara Barat,390,354,363,530,530.77,495.17
Maluku Tenggara,306,406,341,392,452.72,459.8
Maluku Tengah,496,548,595,462,740.22,692.79
Buru,731,699,514,647,628.7,701.1
Kepulauan Aru,438,472,422,455,361.61,484.72
Seram Bagian Barat,259,352,336,358,549.78,496.72
Seram Bagian Timur,564,561,494,533,552.63,467.57
Maluku Barat Daya,363,326,333,473,390.8,615.95
Buru Selatan,326,431,453,339,532.53,529.1
Kota Ambon,617,453,521,503,768.27,512.44
Kota Tual,335,290,371,355,501.34,458.53
Halmahera Barat,485,409,512,528,447.4,586.18
Halmahera Tengah,483,521,634,430,676.22,857.22
Kepulauan Sula,218,237,279,247,264.58,421.46
Halmahera Selatan,386,359,317,424,422.08,535.27
Halmahera Utara,570,454,410,526,637.35,531.05
Halmahera Timur,577,622,549,535,703.77,516.77
Pulau Morotai,298,373,280,424,501.61,761.85
